date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,18:00,Gomel,Zhodino,0 : 1,4.20,3.00,1.91
18102017,18:45,Dnepr Mogilev,Isloch Minsk,1 : 2,2.05,2.85,2.75
20102017,18:00,Krumkachy,Gorodeja,0 : 3,2.85,2.85,2.00
22102017,13:00,Naftan,Brest,0 : 4,7.00,3.80,1.25
22102017,14:10,Neman,Gomel,3 : 0,1.60,2.90,4.30
22102017,17:00,Dnepr Mogilev,BATE,0 : 2,9.25,4.90,1.13
22102017,17:30,Zhodino,FC Minsk,1 : 1,1.30,3.50,7.00
22102017,13:00,Din. Minsk,Slavia Mozyr,0 : 0,1.08,5.25,11.50
22102017,14:00,Slutsk,Isloch Minsk,1 : 3,1.68,2.95,3.75
22102017,15:00,Vitebsk,Soligorsk,1 : 2,4.00,2.85,1.68
23102017,17:00,Dnepr Mogilev,BATE,0 : 2,9.25,4.90,1.13
23102017,17:30,Zhodino,FC Minsk,1 : 1,1.30,3.50,7.00
