date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,18:00,Gomel,Zhodino,0 : 1,4.20,3.00,1.91
18102017,18:45,Dnepr Mogilev,Isloch Minsk,1 : 2,2.05,2.85,2.75
20102017,18:00,Krumkachy,Gorodeja,0 : 3,2.85,2.85,2.00
22102017,13:00,Naftan,Brest,0 : 4,7.00,3.80,1.25
22102017,14:10,Neman,Gomel,3 : 0,1.60,2.90,4.30
22102017,17:00,Dnepr Mogilev,BATE,0 : 2,9.25,4.90,1.13
22102017,17:30,Zhodino,FC Minsk,1 : 1,1.30,3.50,7.00
22102017,13:00,Din. Minsk,Slavia Mozyr,0 : 0,1.08,5.25,11.50
22102017,14:00,Slutsk,Isloch Minsk,1 : 3,1.68,2.95,3.75
22102017,15:00,Vitebsk,Soligorsk,1 : 2,4.00,2.85,1.68
23102017,17:00,Dnepr Mogilev,BATE,0 : 2,9.25,4.90,1.13
23102017,17:30,Zhodino,FC Minsk,1 : 1,1.30,3.50,7.00
27102017,17:00,Soligorsk,Dnepr Mogilev,2 : 1,1.14,4.50,10.00
28102017,13:00,Slutsk ,Krumkachy,2 : 0,1.42,3.15,5.75
28102017,15:00,Gomel,Gorodeja,0 : 0,2.20,2.70,2.70
28102017,16:00,Isloch Minsk,Din. Minsk,1 : 5,5.50,3.25,1.40
28102017,17:00,BATE,Naftan,1 : 1,1.04,6.25,13.00
29102017,12:00,Slavia Mozyr,Vitebsk,0 : 1,2.80,2.85,2.05
29102017,13:00,FC Minsk ,Neman,0 : 1,3.10,2.75,1.95
29102017,15:00,Brest,Zhodino,1 : 0,1.88,2.85,3.15
04112017,12:00,Krumkachy,Gomel,0 : 1,2.40,2.75,2.40
04112017,13:00,Naftan ,Soligorsk,1 : 5,10.50,5.00,1.10
04112017,17:00,Neman,Brest,0 : 2,2.50,2.80,2.25
05112017,12:00,Din. Minsk,Slutsk,2 : 0,1.22,3.80,8.50
05112017,13:00,Gorodeja,FC Minsk ,1 : 1,2.00,2.80,2.95
03112017,16:00,Vitebsk,Isloch Minsk,0 : 2,1.90,2.90,3.05
03112017,18:00,Dnepr Mogilev,Slavia Mozyr,5 : 3,2.25,2.80,2.50
