date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,22:30,Cajamarca,Garcilaso,1 : 0,-,-,-
18102017,20:15,AD Cantolao,U. San Martin,3 : 1,-,-,-
18102017,22:30,Sporting Cristal,Melgar,1 : 1,-,-,-
19102017,02:00,U. de Deportes,Huancayo,2 : 0,-,-,-
20102017,20:15,Ayacucho,Cajamarca,2 : 2,-,-,-
20102017,22:30,Comerciantes Unidos,Juan Aurich,1 : 2,-,-,-
22102017,17:45,U. San Martin,Alianza Atl.,4 : 1,-,-,-
22102017,20:00,Sporting Cristal,Sport Rosario,2 : 1,-,-,-
22102017,20:15,Huancayo,Dep. Municipal,3 : 0,-,-,-
22102017,22:00,Garcilaso,U. de Deportes,1 : 2,-,-,-
22102017,22:00,Melgar,AD Cantolao,5 : 0,-,-,-
22102017,02:30,A. Lima,Union Comercio,1 : 0,-,-,-
24102017,20:15,Juan Aurich,U. San Martin,0 : 0,-,-,-
24102017,22:30,Dep. Municipal,Comerciantes Unidos,1 : 0,-,-,-
24102017,00:45,AD Cantolao,Ayacucho,0 : 0,-,-,-
25102017,00:45,AD Cantolao,Ayacucho,0 : 0,-,-,-
25102017,20:15,Union Comercio,Melgar,0 : 2,-,-,-
25102017,22:30,Cajamarca,Sporting Cristal,1 : 0,-,-,-
26102017,02:00,U. de Deportes,Sport Rosario,2 : 1,-,-,-
26102017,20:15,Alianza Atl.,Garcilaso,3 : 2,-,-,-
26102017,22:30,Huancayo,A. Lima,4 : 2,-,-,-
28102017,19:30,Ayacucho ,Union Comercio,0 : 1,-,-,-
28102017,19:45,Melgar,U. de Deportes,2 : 0,-,-,-
28102017,22:00,U. San Martin ,Dep. Municipal,1 : 4,-,-,-
28102017,00:45,Sport Rosario,Cajamarca,2 : 1,-,-,-
29102017,17:00,Sporting Cristal,AD Cantolao,3 : 0,-,-,-
29102017,19:15,Garcilaso,Juan Aurich,5 : 1,-,-,-
29102017,21:30,A. Lima,Alianza Atl.,3 : 0,-,-,-
30102017,21:30,Comerciantes Unidos,Huancayo,2�:�1,1.85,3.29,4.00
05112017,21:30,Comerciantes Unidos,U. de Deportes,1 : 1,-,-,-
