date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,15:00,République Tchèque -17,Israel -17,0 : 2,-,-,-
16102017,15:00,Turquie -17,Arménie -17,4 : 0,-,-,-
16102017,16:00,Kosovo -17,Hongrie -17,1 : 3,-,-,-
16102017,16:00,Pays de Galles -17,Pays-Bas -17,0 : 4,-,-,-
16102017,17:30,Azerbaijan -17,Bulgarie -17,2 : 1,-,-,-
16102017,17:30,Ukraine -17,Irlande -17,1 : 3,-,-,-
17102017,14:00,Chypre -17,Suède -17 ,1 : 1,-,-,-
17102017,14:00,Pologne -17,San Marin -17,8 : 0,-,-,-
18102017,11:00,Norvège -17,Grèce -17,0 : 1,-,-,-
18102017,14:30,Serbie -17,Gibraltar -17,7 : 0,-,-,-
19102017,11:00,Biélorussie -17,Slovénie -17,0 : 1,-,-,-
19102017,12:00,Espagne -17,Liechtenstein -17,3 : 0,-,-,-
19102017,14:00,Albanie -17 ,Croatie -17,0 : 1,-,-,-
19102017,15:00,Arménie -17,Israel -17,0 : 3,-,-,-
19102017,15:00,Turquie -17,République Tchèque -17,1 : 1,-,-,-
19102017,17:00,France -17 ,Kazakhstan -17,5 : 0,-,-,-
20102017,14:00,Pologne -17,Chypre -17,1 : 0,-,-,-
20102017,14:00,Suède -17,San Marin -17,9 : 0,-,-,-
22102017,11:00,Grèce -17,Gibraltar -17,6 : 0,-,-,-
22102017,14:30,Serbie -17,Norvège -17,2 : 1,-,-,-
22102017,14:00,Autriche -17 ,Luxembourg -17 ,2 : 1,-,-,-
22102017,14:00,San Marin -17,Chypre -17,0 : 5,-,-,-
22102017,14:00,Suède -17,Pologne -17,1 : 1,-,-,-
22102017,18:00,Lituanie -17,Roumanie -17,1 : 2,-,-,-
22102017,11:00,France -17,Biélorussie -17,3 : 1,-,-,-
22102017,12:00,Ecosse -17,Andorre -17,2 : 1,-,-,-
22102017,12:00,Espagne -17 ,Albanie -17,1 : 0,-,-,-
22102017,14:00,Croatie -17,Liechtenstein -17,6 : 0,-,-,-
22102017,15:00,Estonie -17 ,Danemark -17 ,0 : 1,-,-,-
22102017,17:00,Slovénie -17,Kazakhstan -17,1 : 0,-,-,-
23102017,14:00,Autriche -17 ,Luxembourg -17 ,2 : 1,-,-,-
23102017,14:00,San Marin -17,Chypre -17,0 : 5,-,-,-
23102017,14:00,Suède -17,Pologne -17,1 : 1,-,-,-
23102017,18:00,Lituanie -17,Roumanie -17,1 : 2,-,-,-
