date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,08:00,SKA Khabarovsk -21,Ufa -21,2 : 0,-,-,-
20102017,13:00,Sp. Moscou -21,Amkar -21,1 : 1,-,-,-
20102017,13:00,Tosno -21,FK Rostov -21,2 : 1,-,-,-
20102017,14:00,Kazan -21 ,Din. Moscou -21,2 : 3,-,-,-
20102017,11:00,Olimpik Donetsk -21,Zirka Kropyvnytskyi -21,2 : 2,-,-,-
20102017,12:00,Stal Kamianske -21,Ch. Odessa -21,3 : 0,-,-,-
20102017,12:00,Vorskla -21 ,Karpaty -21,2 : 2,-,-,-
20102017,13:00,Oleksandriya -21,Veres Rivne -21,3 : 1,-,-,-
22102017,13:00,CSKA Moscou -21,Zenit Petersburg -21,3 : 2,-,-,-
22102017,13:00,Din. Kiev -21 ,Shakhtar -21,0 : 2,-,-,-
22102017,14:00,Mariupol -21 ,Zorya -21,1 : 3,-,-,-
22102017,11:00,Lok. Moscou -21,Krasnodar -21,0 : 1,-,-,-
22102017,07:00,Ural -21 ,Akhmat Grozny -21,4 : 2,-,-,-
22102017,11:00,Anzhi -21,Arsenal Tula -21,2 : 1,-,-,-
23102017,11:00,Lok. Moscou -21,Krasnodar -21,0 : 1,-,-,-
26102017,13:00,Arsenal Tula -21,CSKA Moscou -21,1 : 3,-,-,-
27102017,13:00,FK Rostov -21,Sp. Moscou -21,1 : 1,-,-,-
27102017,10:00,Shakhtar -21,Stal Kamianske -21 ,2 : 0,-,-,-
28102017,12:00,Krasnodar -21,SKA Khabarovsk -21,7 : 1,-,-,-
28102017,13:00,Amkar -21 ,Ural -21,5 : 1,-,-,-
28102017,13:00,Zenit Petersburg -21,Lok. Moscou -21 ,5 : 1,-,-,-
28102017,14:00,Din. Moscou -21,Tosno -21,3 : 1,-,-,-
28102017,11:00,Zirka Kropyvnytskyi -21,Vorskla -21,2 : 2,-,-,-
28102017,12:00,Karpaty -21,Din. Kiev -21,1 : 1,-,-,-
28102017,12:00,Veres Rivne -21,Olimpik Donetsk -21,0 : 1,-,-,-
28102017,13:00,Zorya -21,Oleksandriya -21,0 : 1,-,-,-
29102017,13:00,Ch. Odessa -21,Mariupol -21,1 : 2,-,-,-
30102017,09:00,Ufa -21,Kazan -21,1�:�4,-,-,-
30102017,11:00,Akhmat Grozny -21,Anzhi -21,0�:�1,2.29,3.50,2.87
02112017,09:00,Ural -21,Din. Moscou -21,0 : 2,-,-,-
04112017,08:00,Tosno -21,Krasnodar -21 ,0 : 1,-,-,-
04112017,10:00,Lok. Moscou -21,CSKA Moscou -21,1 : 3,-,-,-
04112017,12:00,Akhmat Grozny -21,FK Rostov -21,0 : 1,-,-,-
04112017,13:00,Kazan -21,Zenit Petersburg -21,2 : 3,-,-,-
04112017,16:00,Amkar -21,Anzhi -21,0 : 0,-,-,-
04112017,11:00,Olimpik Donetsk -21,Zorya -21,1 : 2,-,-,-
04112017,11:00,Stal Kamianske -21,Karpaty -21,0 : 1,-,-,-
04112017,12:00,Din. Kiev -21,Vorskla -21,4 : 2,-,-,-
04112017,12:00,Mariupol -21,Shakhtar -21,2 : 1,-,-,-
05112017,02:00,SKA Khabarovsk -21,Arsenal Tula -21,2 : 2,-,-,-
05112017,11:00,Sp. Moscou -21,Ufa -21,1 : 1,-,-,-
03112017,13:00,Oleksandriya -21,Ch. Odessa -21,2 : 0,-,-,-
03112017,14:00,Veres Rivne -21,Zirka Kropyvnytskyi -21,3 : 0,-,-,-
