date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:30,Argentino de Merlo,General Lamadrid,1 : 1,2.10,3.00,3.25
16102017,20:30,Central Ballester,Argentino de Rosario,1 : 2,1.91,3.30,3.50
16102017,20:30,Deportivo Paraguayo,Juventud Unida S. M.,0 : 2,2.10,3.00,3.50
16102017,20:30,Deportivo Muniz ,Lugano ,0 : 1,2.50,3.00,2.75
16102017,20:30,Puerto Nuevo ,Victoriano A.,0 : 2,2.75,3.20,2.38
16102017,20:30,Yupanqui,Liniers,0 : 1,2.80,3.00,2.45
27102017,20:30,Juventud Unida S. M. ,Puerto Nuevo,2 : 2,-,-,-
27102017,20:30,Liniers,Deportivo Paraguayo ,2 : 0,-,-,-
28102017,16:00,Victoriano A.,Deportivo Muniz,6 : 1,-,-,-
28102017,20:30,Argentino de Rosario ,Yupanqui ,0 : 0,-,-,-
28102017,20:30,Lugano,Argentino de Merlo,1 : 3,-,-,-
28102017,20:30,Real Pilar ,Central Ballester,1 : 2,-,-,-
