date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:30,Argentino de Merlo,General Lamadrid,1 : 1,2.10,3.00,3.25
16102017,20:30,Central Ballester,Argentino de Rosario,1 : 2,1.91,3.30,3.50
16102017,20:30,Deportivo Paraguayo,Juventud Unida S. M.,0 : 2,2.10,3.00,3.50
16102017,20:30,Deportivo Muniz ,Lugano ,0 : 1,2.50,3.00,2.75
16102017,20:30,Puerto Nuevo ,Victoriano A.,0 : 2,2.75,3.20,2.38
16102017,20:30,Yupanqui,Liniers,0 : 1,2.80,3.00,2.45
27102017,20:30,Juventud Unida S. M. ,Puerto Nuevo,2 : 2,-,-,-
27102017,20:30,Liniers,Deportivo Paraguayo ,2 : 0,-,-,-
28102017,16:00,Victoriano A.,Deportivo Muniz,6 : 1,-,-,-
28102017,20:30,Argentino de Rosario ,Yupanqui ,0 : 0,-,-,-
28102017,20:30,Lugano,Argentino de Merlo,1 : 3,-,-,-
28102017,20:30,Real Pilar ,Central Ballester,1 : 2,-,-,-
29102017,19:30,CSR Espanol,Claypole,3 : 1,-,-,-
29102017,19:30,General Lamadrid,Atlas ,0 : 1,-,-,-
04112017,15:00,Lugano,General Lamadrid,1 : 0,-,-,-
05112017,15:00,Central Ballester,CSR Espanol,3 : 2,-,-,-
05112017,15:00,Deportivo Muniz ,Juventud Unida S. M.,1 : 0,-,-,-
05112017,16:00,Argentino de Merlo,Victoriano A.,0 : 1,-,-,-
03112017,19:30,Claypole ,Atlas,1 : 3,-,-,-
03112017,19:30,Deportivo Paraguayo,Argentino de Rosario,2 : 0,-,-,-
06112017,19:30,Puerto Nuevo,Liniers,1 : 1,-,-,-
06112017,19:30,Puerto Nuevo,Liniers,1 : 1,-,-,-
07112017,19:30,Yupanqui ,Real Pilar,0 : 0,-,-,-
11112017,19:30,Argentino de Rosario,Puerto Nuevo,3 : 0,-,-,-
11112017,19:30,Atlas,Central Ballester,2 : 5,-,-,-
11112017,19:30,General Lamadrid,Claypole,2 : 0,-,-,-
11112017,19:30,Juventud Unida S. M. ,Argentino de Merlo,0 : 1,-,-,-
12112017,19:30,Real Pilar,Deportivo Paraguayo,0 : 0,-,-,-
12112017,19:30,Liniers,Deportivo Muniz ,1 : 0,-,-,-
12112017,19:30,Victoriano A.,Lugano,2 : 1,-,-,-
12112017,19:30,Real Pilar,Deportivo Paraguayo,0 : 0,-,-,-
13112017,19:30,Liniers,Deportivo Muniz ,1 : 0,-,-,-
13112017,19:30,Victoriano A.,Lugano,2 : 1,-,-,-
14112017,19:30,CSR Espanol,Yupanqui,2 : 0,-,-,-
17112017,21:00,Lugano,Juventud Unida S. M. ,2 : 1,-,-,-
18112017,21:00,Puerto Nuevo ,Real Pilar ,2 : 0,-,-,-
19112017,21:00,Victoriano A. ,General Lamadrid,1 : 0,-,-,-
19112017,21:00,Yupanqui,Atlas ,2 : 1,-,-,-
20112017,21:00,Deportivo Muniz,Argentino de Rosario ,1 : 2,-,-,-
21112017,21:00,Central Ballester ,Claypole,2 : 3,-,-,-
21112017,21:00,Deportivo Paraguayo,CSR Espanol,1 : 3,-,-,-
22112017,00:30,Argentino de Merlo,Liniers,1 : 0,-,-,-
25112017,21:00,Atlas,Deportivo Paraguayo,-,-,-,-
25112017,21:00,Claypole,Yupanqui,-,-,-,-
25112017,21:00,Real Pilar,Deportivo Muniz,-,-,-,-
24112017,21:00,Argentino de Rosario,Argentino de Merlo,1 : 0,-,-,-
24112017,21:00,General Lamadrid,Central Ballester,1 : 0,-,-,-
24112017,21:00,Liniers,Lugano,2 : 1,-,-,-
27112017,21:00,CSR Espanol ,Puerto Nuevo,0 : 0,-,-,-
27112017,21:00,Juventud Unida S. M.,Victoriano A.,0 : 2,-,-,-
03122017,21:00,Deportivo Paraguayo,Claypole,-,-,-,-
02122017,21:00,Argentino de Merlo ,Real Pilar,0 : 1,-,-,-
02122017,21:00,Juventud Unida S. M. ,General Lamadrid,0 : 1,-,-,-
01122017,21:00,Deportivo Muniz,CSR Espanol,0 : 1,-,-,-
01122017,21:00,Lugano,Argentino de Rosario,0 : 0,-,-,-
