date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:45,Cambridge Utd,Yeovil,2 : 1,-,-,-
17102017,20:45,Carlisle,Wycombe,3 : 3,-,-,-
17102017,20:45,Cheltenham,Grimsby Town,2 : 3,-,-,-
17102017,20:45,Coventry,Forest Green,0 : 1,-,-,-
17102017,20:45,Crawley Town,Chesterfield,0 : 2,-,-,-
17102017,20:45,Crewe,Notts County,2 : 0,-,-,-
17102017,20:45,Exeter,Luton,1 : 4,-,-,-
17102017,20:45,Morecambe,Port Vale,0 : 3,-,-,-
17102017,20:45,Newport,Colchester,1 : 2,-,-,-
17102017,20:45,Stevenage,Accrington,3 : 2,-,-,-
17102017,20:45,Swindon,Lincoln City,0 : 1,-,-,-
17102017,21:00,Barnet,Mansfield,1 : 1,-,-,-
22102017,16:00,Barnet,Yeovil,1 : 1,-,-,-
22102017,16:00,Cambridge Utd,Chesterfield,2 : 1,-,-,-
22102017,16:00,Carlisle,Notts County,1 : 1,-,-,-
22102017,16:00,Cheltenham,Lincoln City,1 : 0,-,-,-
22102017,16:00,Coventry,Colchester ,0 : 0,-,-,-
22102017,16:00,Crawley Town,Luton,0 : 0,-,-,-
22102017,16:00,Crewe ,Accrington,0 : 2,-,-,-
22102017,16:00,Exeter,Port Vale,0 : 1,-,-,-
22102017,16:00,Morecambe,Grimsby Town,0 : 0,-,-,-
22102017,16:00,Newport,Mansfield,1 : 1,-,-,-
22102017,16:00,Stevenage,Forest Green,1 : 2,-,-,-
22102017,16:00,Swindon,Wycombe,1 : 0,-,-,-
22102017,16:00,Berwick,Montrose,0 : 1,-,-,-
22102017,16:00,Clyde,Peterhead,1 : 4,-,-,-
22102017,16:00,Cowdenbeath,Stirling,0 : 3,-,-,-
22102017,16:00,Edinburgh City,Annan,0 : 1,-,-,-
22102017,16:00,Elgin,Stenhousemuir,2 : 0,-,-,-
28102017,16:00,Accrington,Barnet,4 : 1,-,-,-
28102017,16:00,Chesterfield,Carlisle,2 : 2,-,-,-
28102017,16:00,Colchester,Crewe,3 : 1,-,-,-
28102017,16:00,Forest Green,Morecambe,2 : 0,-,-,-
28102017,16:00,Grimsby Town,Cambridge Utd,0 : 0,-,-,-
28102017,16:00,Lincoln City,Crawley Town,0 : 0,-,-,-
28102017,16:00,Luton ,Coventry,0 : 3,-,-,-
28102017,16:00,Mansfield,Exeter ,1 : 1,-,-,-
28102017,16:00,Notts County,Newport ,3 : 0,-,-,-
28102017,16:00,Port Vale,Swindon,0 : 3,-,-,-
28102017,16:00,Wycombe,Cheltenham,3 : 3,-,-,-
28102017,16:00,Yeovil ,Stevenage ,3 : 0,-,-,-
28102017,16:00,Berwick,Cowdenbeath,1 : 0,-,-,-
28102017,16:00,Clyde,Elgin,2 : 4,-,-,-
28102017,16:00,Montrose,Edinburgh City,1 : 0,-,-,-
28102017,16:00,Peterhead,Annan,1 : 0,-,-,-
28102017,16:00,Stirling,Stenhousemuir,1 : 2,-,-,-
