date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,12:15,Penafiel,Sporting B,4 : 1,1.90,2.95,3.20
22102017,17:00,Braga B,Covilha,0 : 1,1.95,2.95,3.05
22102017,17:00,Famalicao,Academico Viseu,0 : 1,2.10,2.80,2.90
22102017,17:00,Leixoes,Academica,1 : 0,2.15,2.80,2.80
22102017,17:00,Nacional,CD Cova da Piedade,2 : 1,1.55,3.20,4.60
22102017,17:00,Oliveirense,Real SC,1 : 1,1.95,3.00,3.00
22102017,12:15,Arouca ,Gil Vicente ,1 : 0,1.60,2.95,4.60
22102017,16:00,Benfica B,U. Madeira,2 : 1,1.78,3.10,3.40
22102017,17:00,FC Porto B,Varzim,3 : 0,2.15,2.90,2.70
22102017,17:00,Santa Clara,Guimaraes B,1 : 0,1.38,3.60,5.75
