date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,11:00,Unterhaching -19,Freiburg -19,2 : 2,-,-,-
22102017,13:00,Kaiserslautern -19,Hoffenheim -19 ,1 : 2,-,-,-
22102017,11:00,Karlsruher -19,Augsburg -19,2 : 1,-,-,-
22102017,13:00,Mainz -19,Heidenheim -19,1 : 1,-,-,-
22102017,13:00,Nurnberg -19,Stuttgart -19,0 : 2,-,-,-
22102017,14:00,Furth -19,Wehen -19,0 : 2,-,-,-
28102017,13:00,Freiburg -19,Karlsruher -19,3 : 1,-,-,-
28102017,13:00,Wehen -19,Kaiserslautern -19,5 : 1,-,-,-
29102017,13:00,Augsburg -19,Furth -19,5 : 2,-,-,-
29102017,13:00,Frankfurt -19,Nurnberg -19,4 : 0,-,-,-
29102017,13:00,Hoffenheim -19,Mainz -19,5 : 0,-,-,-
29102017,14:00,Stuttgart -19,Unterhaching -19,2 : 5,-,-,-
