date,horaire,team_home,team_away,score,cote1,coteN,cote2
04112017,13:30,Shaw Lane,Mansfield ,1 : 3,-,-,-
04112017,16:00,Blackburn ,Barnet,3 : 1,-,-,-
04112017,16:00,Boreham Wood ,Blackpool,2 : 1,-,-,-
04112017,16:00,Bradford ,Chesterfield,2 : 0,-,-,-
04112017,16:00,Carlisle ,Oldham,3 : 2,-,-,-
04112017,16:00,Cheltenham ,Maidstone  ,2 : 4,-,-,-
04112017,16:00,Colchester,Oxford City ,0 : 1,-,-,-
04112017,16:00,Crewe ,Rotherham,2 : 1,-,-,-
04112017,16:00,Ebbsfleet ,Doncaster ,2 : 6,-,-,-
04112017,16:00,Forest Green ,Macclesfield,1 : 0,-,-,-
04112017,16:00,Fylde ,Kidderminster,4 : 2,-,-,-
04112017,16:00,Gainsborough,Slough ,0 : 6,-,-,-
04112017,16:00,Gateshead ,Chelmsford,2 : 0,-,-,-
04112017,16:00,Gillingham FC ,Leyton Orient ,2 : 1,-,-,-
04112017,16:00,Hereford ,Telford ,1 : 0,-,-,-
04112017,16:00,Luton ,Portsmouth ,1 : 0,-,-,-
04112017,16:00,Morecambe ,Hartlepool,3 : 0,-,-,-
04112017,16:00,Northampton,Scunthorpe,0 : 0,-,-,-
04112017,16:00,Peterborough,Tranmere,1 : 1,-,-,-
04112017,16:00,Plymouth ,Grimsby Town,1 : 0,-,-,-
04112017,16:00,Rochdale ,Bromley ,4 : 0,-,-,-
04112017,16:00,Shrewsbury ,Aldershot,5 : 0,-,-,-
04112017,16:00,Stevenage ,Nantwich,5 : 0,-,-,-
04112017,16:00,Wigan ,Crawley Town,2 : 1,-,-,-
04112017,16:00,Wimbledon ,Lincoln City,1 : 0,-,-,-
04112017,16:00,Yeovil ,Southend,1 : 0,-,-,-
04112017,18:15,Newport ,Walsall,2 : 1,-,-,-
04112017,15:00,Ammanford,Llantwit Major,-,-,-,-
04112017,15:00,Caerphilly,Penrhyncoch ,2 : 4,-,-,-
04112017,15:00,Cwmamman United ,Bridgend Street,3 : 0,-,-,-
04112017,15:00,Cwmbran Celtic ,Llanelli,2 : 1,-,-,-
04112017,15:00,Llandudno Junction ,Denbigh,3 : 2 (2 : 2),-,-,-
04112017,15:00,Pencoed,Pontypridd ,1 : 3,-,-,-
04112017,15:00,Penydarren ,STM Sports,2 : 1,-,-,-
04112017,15:30,Airbus ,Saltney Town,4 : 0,-,-,-
04112017,15:30,Brickfield,Ruthin ,2 : 4,-,-,-
04112017,15:30,Buckley ,Llandudno Albion,2 : 1,-,-,-
04112017,15:30,Caernarfon ,Berriew FC,4 : 1,-,-,-
04112017,15:30,Caersws,Llanrhaedr ,1 : 2,-,-,-
04112017,15:30,Goytre AFC ,Briton Ferry,2 : 1,-,-,-
04112017,15:30,Gresford ,Conwy Borough,5 : 1,-,-,-
04112017,15:30,Haverfordwest ,Aberbargoed,2 : 0,-,-,-
04112017,15:30,Holywell,Guilsfield ,2 : 3,-,-,-
04112017,15:30,Llay Welfare,Flint ,1 : 3,-,-,-
04112017,15:30,Penley,Porthmadog ,0 : 10,-,-,-
04112017,15:30,Penybont ,Monmouth,2 : 1,-,-,-
04112017,15:30,Ton Pentre,Panteg ,1 : 2,-,-,-
05112017,15:00,Cambridge Utd  ,Sutton,1 : 0,-,-,-
05112017,15:00,Charlton ,Truro,3 : 1,-,-,-
05112017,15:00,Coventry ,Maidenhead,2 : 0,-,-,-
05112017,15:00,Dartford,Swindon ,1 : 5,-,-,-
05112017,15:00,Exeter ,Heybridge,3 : 1,-,-,-
05112017,15:00,Guiseley,Accrington,0 : 0,-,-,-
05112017,15:00,Leatherhead,Billericay,1 : 1,-,-,-
05112017,15:00,Solihull,Wycombe ,0 : 2,-,-,-
05112017,15:00,Woking,Bury,1 : 1,-,-,-
03112017,20:45,Notts County ,Bristol Rovers,4 : 2,-,-,-
03112017,20:45,Port Vale ,Oxford Utd,2 : 0,-,-,-
03112017,20:55,Hyde,Milton Keynes ,0 : 4,-,-,-
06112017,20:45,Chorley,Fleetwood  ,1 : 2,-,-,-
06112017,20:45,Chorley,Fleetwood  ,1 : 2,-,-,-
14112017,20:45,Accrington,Guiseley  ,1 : 2 (1 : 1),-,-,-
14112017,20:45,Bury,Woking ,0 : 3,-,-,-
14112017,20:45,Scunthorpe ,Northampton,1 : 0,-,-,-
