date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,14:30,Kisvarda,Dorogi,2 : 0,-,-,-
22102017,14:30,Cegledi,Budafoki ,3 : 1,-,-,-
22102017,14:30,Mosonmagyarovari TE,Szeged ,1 : 0,-,-,-
22102017,14:30,Vac,Gyirmot,2 : 1,-,-,-
22102017,15:00,Zalaegerszeg,Soroksar,2 : 0,-,-,-
22102017,17:00,Bekescsaba ,Szolnoki,1 : 2,-,-,-
22102017,17:00,Csakvari,Budaorsi,1 : 5,-,-,-
22102017,17:00,Győr,Kazincbarcika,4 : 3,-,-,-
22102017,17:00,Siofok,Nyiregyhaza,1 : 0,-,-,-
22102017,17:00,Soproni VSE,MTK Budapest,0 : 4,-,-,-
29102017,13:30,Budafoki,Bekescsaba,0 : 2,-,-,-
29102017,13:30,Budaorsi,Cegledi,1 : 1,-,-,-
29102017,13:30,Dorogi,Siofok,2 : 1,-,-,-
29102017,13:30,Kazincbarcika ,Zalaegerszeg,2 : 0,-,-,-
29102017,13:30,Soroksar,Kisvarda,0 : 1,-,-,-
29102017,13:30,Szeged,Győr,0 : 0,-,-,-
29102017,13:30,Szolnoki,Vac,1 : 5,-,-,-
29102017,15:00,MTK Budapest,Mosonmagyarovari TE,6 : 1,-,-,-
29102017,17:00,Gyirmot,Soproni VSE,0 : 0,-,-,-
29102017,17:00,Nyiregyhaza,Csakvari,1 : 0,-,-,-
