date,horaire,team_home,team_away,score,cote1,coteN,cote2
18102017,15:00,Fanja SC,Saham,2 : 1,-,-,-
18102017,15:15,Mirbat,Al-Midhaibi,2 : 3,-,-,-
18102017,16:15,Al Oruba,Oman FC,1 : 0,-,-,-
18102017,17:15,Al Nahda,Al Suwaiq,2 : 0,-,-,-
18102017,17:15,Muscat,Al Nasr,1 : 1,-,-,-
18102017,17:30,Al-Salam,Al-Shabab,0 : 1,-,-,-
18102017,18:15,Dhofar,Sohar,1 : 1,-,-,-
22102017,14:55,Al-Shabab,Mirbat,2 : 0,-,-,-
22102017,15:00,Al Nasr ,Al-Salam,1 : 0,-,-,-
22102017,15:00,Al Suwaiq,Muscat,2 : 1,-,-,-
22102017,16:15,Al Nahda,Dhofar,2 : 4,-,-,-
22102017,17:15,Oman FC,Fanja SC,3 : 0,-,-,-
22102017,18:00,Al-Midhaibi ,Al Oruba ,2 : 0,-,-,-
22102017,18:00,Saham,Sohar,0 : 1,-,-,-
