date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,11:00,Chemnitzer FC -19,Niendorfer TSV -19,1 : 1,-,-,-
22102017,11:00,Hannover -19,Dresden -19,0 : 3,-,-,-
22102017,11:00,Union Berlin -19,Kiel -19,3 : 2,-,-,-
22102017,13:00,Braunschweig -19 ,RB Leipzig -19,1 : 4,-,-,-
22102017,13:00,Hertha -19,Hamburger SV -19,-,-,-,-
22102017,13:00,St. Pauli -19,Wolfsburg -19,2 : 1,-,-,-
27102017,14:30,Dresden -19,Union Berlin -19,5 : 1,-,-,-
28102017,11:00,Kiel -19,Hertha -19,1 : 3,-,-,-
28102017,11:00,RB Leipzig -19,St. Pauli -19,2 : 0,-,-,-
28102017,11:00,Wolfsburg -19,Chemnitzer FC -19,6 : 1,-,-,-
28102017,13:00,Hamburger SV -19,Braunschweig -19,2 : 1,-,-,-
28102017,14:00,Niendorfer TSV -19,Osnabruck -19,0 : 3,-,-,-
29102017,12:00,Bremen -19,Hannover -19,1 : 1,-,-,-
04112017,11:00,Osnabruck -19,Wolfsburg -19,1 : 4,-,-,-
04112017,11:00,Union Berlin -19,Bremen -19,0 : 3,-,-,-
04112017,12:00,Chemnitzer FC -19,RB Leipzig -19,0 : 0,-,-,-
04112017,13:00,Hertha -19,Dresden -19,6 : 1,-,-,-
05112017,13:00,Hamburger SV -19,Kiel -19,2 : 0,-,-,-
05112017,14:00,Braunschweig -19,St. Pauli -19,0 : 2,-,-,-
05112017,14:00,Hannover -19,Niendorfer TSV -19,7 : 2,-,-,-
18112017,11:00,Braunschweig -19,Kiel -19,2 : 3,-,-,-
18112017,11:00,Bremen -19 ,Hertha -19 ,1 : 3,-,-,-
18112017,11:00,Dresden -19,Hamburger SV -19,1 : 1,-,-,-
18112017,11:00,RB Leipzig -19,Osnabruck -19,7 : 0,-,-,-
18112017,11:00,St. Pauli -19,Chemnitzer FC -19,3 : 1,-,-,-
18112017,12:00,Wolfsburg -19,Hannover -19,4 : 4,-,-,-
18112017,14:00,Niendorfer TSV -19,Union Berlin -19,2 : 0,-,-,-
22112017,18:30,Osnabruck -19,Bremen -19,1 : 2,-,-,-
25112017,12:00,Hannover -19,RB Leipzig -19,5 : 3,-,-,-
25112017,13:00,Hertha -19,Niendorfer TSV -19,4 : 3,-,-,-
24112017,11:00,Chemnitzer FC -19,Braunschweig -19,2 : 2,-,-,-
24112017,11:00,Kiel -19,Dresden -19,2 : 2,-,-,-
24112017,12:00,Union Berlin -19,Wolfsburg -19,2 : 1,-,-,-
24112017,13:00,Hamburger SV -19,Bremen -19,2 : 1,-,-,-
24112017,15:00,Osnabruck -19,St. Pauli -19,0 : 4,-,-,-
02122017,11:00,Hertha -19,Wolfsburg -19,3 : 1,-,-,-
02122017,13:00,Hannover -19,St. Pauli -19,-,-,-,-
01122017,11:00,Osnabruck -19,Chemnitzer FC -19,3 : 1,-,-,-
01122017,13:00,Niendorfer TSV -19,Hamburger SV -19,1 : 3,-,-,-
01122017,13:30,Dresden -19,Braunschweig -19,1 : 0,-,-,-
01122017,14:00,Kiel -19,Bremen -19,0 : 2,-,-,-
01122017,14:00,Union Berlin -19,RB Leipzig -19,0 : 3,-,-,-
