date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,16:30,Rapido de Bouzas,Fuenlabrada,1 : 2,-,-,-
22102017,18:00,Guijuelo,Ponferradina,1 : 0,-,-,-
22102017,12:00,Atl. Madrid B,Ferrol,2 : 2,-,-,-
22102017,12:00,Celta Vigo B,San Sebastian Reyes ,1 : 0,-,-,-
22102017,12:00,Union Adarve,Real Madrid B ,1 : 0,-,-,-
22102017,16:30,Navalcarnero ,La Corogne B,1 : 2,-,-,-
22102017,17:00,Cerceda,Toledo,1 : 1,-,-,-
22102017,17:00,G. Segoviana,Rayo Majadahonda,0 : 0,-,-,-
22102017,17:00,Pontevedra,Coruxo,2 : 1,-,-,-
22102017,18:00,CF Talavera,Valladolid B ,2 : 1,-,-,-
28102017,16:00,Valladolid B,Toledo,1 : 1,-,-,-
28102017,18:00,Coruxo,G. Segoviana ,1 : 1,-,-,-
28102017,18:00,Ferrol,Celta Vigo B,0 : 3,-,-,-
28102017,20:00,CF Talavera,Navalcarnero,1 : 0,-,-,-
28102017,20:30,Real Madrid B,Atl. Madrid B,1 : 1,-,-,-
