date,horaire,team_home,team_away,score,cote1,coteN,cote2
07112017,21:30,Juan Aurich Pastor,CNI,1 : 0,-,-,-
12112017,19:00,Grau ,Carlos Stein,1 : 1,-,-,-
12112017,21:00,CNI ,Juan Aurich Pastor,2 : 0,-,-,-
12112017,21:00,Las Palmas ,Diablos Rojos,4 : 0,-,-,-
12112017,21:20,Coronel,Club Sport La Vid,-,-,-,-
12112017,21:30,Defensor Laure Sur,Binacional ,2 : 1,-,-,-
12112017,21:30,Jose Maria Arguedas,Alfonso Ugarte,-,-,-,-
12112017,21:45,Jose Galvez,San Martin ,1 : 1,-,-,-
12112017,22:00,Independiente Aguas Verdes,Mariategui de Picota ,3 : 1,-,-,-
12112017,19:00,Grau ,Carlos Stein,1 : 1,-,-,-
12112017,21:00,CNI ,Juan Aurich Pastor,2 : 0,-,-,-
12112017,21:00,Las Palmas ,Diablos Rojos,4 : 0,-,-,-
12112017,21:20,Coronel,Club Sport La Vid,-,-,-,-
12112017,21:30,Defensor Laure Sur,Binacional ,2 : 1,-,-,-
12112017,21:30,Jose Maria Arguedas,Alfonso Ugarte,-,-,-,-
12112017,21:45,Jose Galvez,San Martin ,1 : 1,-,-,-
12112017,22:00,Independiente Aguas Verdes,Mariategui de Picota ,3 : 1,-,-,-
