date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,18:00,Colomiers,Grasse,5 : 0,-,-,-
28102017,18:00,Hyères FC,Tarbes,1 : 0,-,-,-
28102017,18:00,Marignane,Marseille II,2 : 1,-,-,-
28102017,18:00,Monaco II,Toulon,2 : 0,-,-,-
28102017,18:00,Paulhan-Pezenas,Martigues,1 : 0,-,-,-
28102017,18:00,Sète,Fréjus St-Raphaël,1 : 1,-,-,-
28102017,18:30,Bergerac,Stade Bordelais,2 : 0,-,-,-
28102017,19:00,Stade Montois,Nice II,2 : 1,-,-,-
04112017,18:00,Grasse,Bergerac,1 : 1,-,-,-
04112017,18:00,Marseille II,Colomiers,0 : 1,-,-,-
04112017,18:00,Martigues,Stade Montois,3 : 0,-,-,-
04112017,18:00,Nice II,Hyères FC,1 : 1,-,-,-
04112017,18:00,Sète,Monaco II,3 : 0,-,-,-
04112017,18:00,Stade Bordelais,Paulhan-Pezenas,0 : 0,-,-,-
04112017,18:00,Toulon,Marignane,0 : 1,-,-,-
04112017,19:00,Fréjus St-Raphaël,Tarbes,3 : 0,-,-,-
18112017,18:00,Colomiers,Toulon,4 : 1,-,-,-
18112017,18:00,Hyères FC,Martigues,3 : 4,-,-,-
18112017,18:00,Marignane,Sète,0 : 2,-,-,-
18112017,18:00,Monaco II,Fréjus St-Raphaël,1 : 1,-,-,-
18112017,18:00,Paulhan-Pezenas,Grasse,0 : 0,-,-,-
18112017,18:00,Tarbes,Nice II,1 : 3,-,-,-
18112017,18:30,Bergerac,Marseille II,2 : 2,-,-,-
18112017,19:00,Stade Montois,Stade Bordelais,3 : 1,-,-,-
24112017,18:00,Grasse,Stade Montois,2 : 2,-,-,-
24112017,18:00,Marseille II,Paulhan-Pezenas,0 : 0,-,-,-
24112017,18:00,Martigues,Tarbes,4 : 0,-,-,-
24112017,18:00,Monaco II,Marignane,2 : 1,-,-,-
24112017,18:00,Sète,Colomiers,0 : 2,-,-,-
24112017,18:00,Stade Bordelais,Hyères FC,1 : 1,-,-,-
24112017,18:00,Toulon,Bergerac,1 : 0,-,-,-
24112017,19:00,Fréjus St-Raphaël,Nice II,1 : 2,-,-,-
