date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,13:00,France -19 F,Iles Féroé -19 F,11 : 0,1.01,26.00,41.00
16102017,13:00,Moldavie -19 F,Italie -19 F,0 : 8,51.00,26.00,1.01
17102017,11:00,Belgique -19 F,Macédoine -19 F,5 : 1,-,-,-
17102017,15:00,Norvège -19 F,Chypre -19 F,-,-,-,-
17102017,17:00,Croatie -19 F,Autriche -19 F,0 : 4,-,-,-
17102017,17:00,Irlande du Nord -19 F,Portugal -19 F,-,-,-,-
18102017,08:00,Angleterre -19 F,Kazakhstan -19 F,9 : 0,-,-,-
18102017,11:00,Pays de Galles -19 F,Slovénie -19 F,0 : 0,-,-,-
18102017,13:00,Biélorussie -19 F,République Tchèque -19 F,0 : 8,-,-,-
18102017,13:00,Ecosse -19 F,Arménie -19 F,2 : 0,-,-,-
18102017,13:00,Hongrie -19 F ,Turquie -19 F,5 : 2,-,-,-
18102017,13:30,Suède -19 F,Bulgarie -19 F,7 : 0,-,-,-
18102017,15:00,Norvège -19 F,Chypre -19 F,6 : 0,-,-,-
18102017,17:00,Estonie -19 F,Irlande -19 F,0 : 3,-,-,-
18102017,17:00,Irlande du Nord -19 F,Portugal -19 F,0 : 2,-,-,-
18102017,19:00,Pays-Bas -19 F,Lettonie -19 F,12 : 0,-,-,-
19102017,13:00,France -19 F,Moldavie -19 F,9 : 0,-,-,-
19102017,13:00,Italie -19 F,Iles Féroé -19 F,9 : 0,-,-,-
20102017,11:00,Belgique -19 F,Croatie -19 F ,7 : 0,-,-,-
20102017,17:00,Autriche -19 F,Macédoine -19 F,2 : 0,-,-,-
20102017,17:00,Norvège -19 F,Irlande du Nord -19 F,7 : 0,-,-,-
20102017,17:00,Portugal -19 F,Chypre -19 F,7 : 0,-,-,-
22102017,08:00,Slovénie -19 F,Kazakhstan -19 F,4 : 0,-,-,-
22102017,11:00,Angleterre -19 F,Pays de Galles -19 F,4 : 0,-,-,-
22102017,13:00,Ecosse -19 F,Hongrie -19 F,0 : 2,-,-,-
22102017,13:00,Irlande -19 F,Lettonie -19 F ,4 : 0,-,-,-
22102017,13:00,Suède -19 F,Biélorussie -19 F,2 : 0,-,-,-
22102017,13:00,Turquie -19 F,Arménie -19 F,5 : 0,-,-,-
22102017,13:30,République Tchèque -19 F,Bulgarie -19 F,9 : 0,-,-,-
22102017,16:00,Pays-Bas -19 F,Estonie -19 F,12 : 1,-,-,-
22102017,16:00,Chypre -19 F,Irlande du Nord -19 F,1 : 2,-,-,-
22102017,16:00,Portugal -19 F,Norvège -19 F,0 : 2,-,-,-
22102017,17:00,Autriche -19 F,Belgique -19 F,3 : 0,-,-,-
22102017,17:00,Macédoine -19 F,Croatie -19 F,0 : 1,-,-,-
22102017,13:00,Iles Féroé -19 F,Moldavie -19 F,4 : 0,-,-,-
22102017,13:00,Italie -19 F,France -19 F,2 : 5,-,-,-
23102017,16:00,Chypre -19 F,Irlande du Nord -19 F,1 : 2,-,-,-
23102017,16:00,Portugal -19 F,Norvège -19 F,0 : 2,-,-,-
23102017,17:00,Autriche -19 F,Belgique -19 F,3 : 0,-,-,-
23102017,17:00,Macédoine -19 F,Croatie -19 F,0 : 1,-,-,-
24102017,08:00,Kazakhstan -19 F,Pays de Galles -19 F,0 : 6,-,-,-
24102017,08:00,Slovénie -19 F,Angleterre -19 F,0 : 1,-,-,-
24102017,13:00,Arménie -19 F,Hongrie -19 F,0 : 5,-,-,-
24102017,13:00,Turquie -19 F,Ecosse -19 F,0 : 0,-,-,-
24102017,13:30,Bulgarie -19 F,Biélorussie -19 F,0 : 2,-,-,-
24102017,13:30,République Tchèque -19 F,Suède -19 F,2 : 0,-,-,-
24102017,19:00,Irlande -19 F,Pays-Bas -19 F,1 : 8,-,-,-
24102017,19:00,Lettonie -19 F,Estonie -19 F,2 : 0,-,-,-
25102017,12:00,Azerbaijan -19 F,Ukraine -19 F,2 : 0,-,-,-
25102017,14:00,Espagne -19 F,Albanie -19 F,8 : 0,-,-,-
28102017,12:00,Espagne -19 F,Azerbaijan -19 F,6 : 0,-,-,-
28102017,14:00,Ukraine -19 F,Albanie -19 F,5 : 0,-,-,-
31102017,14:00,Albanie -19 F,Azerbaijan -19 F,0 : 0,-,-,-
31102017,14:00,Ukraine -19 F,Espagne -19 F,0 : 4,-,-,-
