date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,18:00,H. Petah Tikva,Hapoel Hadera,2 : 2,1.80,3.10,4.20
16102017,18:00,Ironi Nesher,H. Tel Aviv,2 : 1,11.00,4.33,1.25
16102017,18:00,M. Herzliya,H. Marmorek,2 : 2,2.40,3.20,2.70
20102017,14:00,H. Kfar Saba,M. Nazareth,4 : 0,-,-,-
20102017,14:00,H. Marmorek,Hapoel Afula,0 : 0,-,-,-
20102017,14:00,H. Petah Tikva,H. Ironi Rishon,0 : 1,-,-,-
20102017,14:00,Hap. Ramat Gan,H. Bnei Lod,1 : 1,-,-,-
20102017,14:00,Hapoel Hadera,H. Tel Aviv,2 : 2,-,-,-
23102017,18:00,H. Nazareth,Beitar Shimshon,0 : 1,-,-,-
23102017,18:00,Hapoel Katamon,Ironi Nesher,3 : 2,-,-,-
23102017,18:00,Ramat Hasharon,M. Herzliya,0 : 1,-,-,-
27102017,14:00,H. Ironi Rishon,Hapoel Hadera,2 : 4,-,-,-
27102017,14:00,H. Tel Aviv,Hapoel Katamon,1 : 1,-,-,-
27102017,14:00,Ironi Nesher,H. Kfar Saba ,1 : 3,-,-,-
27102017,14:00,M. Herzliya ,H. Nazareth ,2 : 3,-,-,-
27102017,14:00,M. Nazareth,H. Marmorek,4 : 1,-,-,-
30102017,18:00,Beitar Shimshon,Hap. Ramat Gan,2�:�0,2.37,3.10,2.87
30102017,18:00,H. Bnei Lod,H. Petah Tikva,1�:�0,3.10,3.10,2.25
30102017,18:00,Hapoel Afula�,Ramat Hasharon,1�:�2,2.29,3.10,3.00
02112017,18:00,H. Kfar Saba,H. Tel Aviv,0 : 1,-,-,-
03112017,14:00,H. Petah Tikva,Beitar Shimshon,1 : 1,-,-,-
03112017,14:00,Hap. Ramat Gan,M. Herzliya,3 : 0,-,-,-
03112017,14:00,Hapoel Hadera,Hapoel Katamon,0 : 3,-,-,-
03112017,14:00,Ramat Hasharon,M. Nazareth,2 : 1,-,-,-
06112017,18:00,H. Ironi Rishon,H. Bnei Lod,2 : 1,-,-,-
06112017,18:00,H. Marmorek,Ironi Nesher,1 : 0,-,-,-
06112017,18:00,H. Nazareth,Hapoel Afula,2 : 2,-,-,-
06112017,18:00,H. Ironi Rishon,H. Bnei Lod,2 : 1,-,-,-
06112017,18:00,H. Marmorek,Ironi Nesher,1 : 0,-,-,-
06112017,18:00,H. Nazareth,Hapoel Afula,2 : 2,-,-,-
26112017,18:00,Beitar Shimshon,H. Ironi Rishon,-,-,-,-
26112017,18:00,Ironi Nesher,Ramat Hasharon,-,-,-,-
26112017,18:00,M. Herzliya,H. Petah Tikva,-,-,-,-
30112017,14:00,H. Bnei Lod,Beitar Shimshon,0 : 1,-,-,-
30112017,14:00,H. Marmorek ,Hapoel Katamon,1 : 3,-,-,-
30112017,14:00,H. Petah Tikva,Hapoel Afula,1 : 2,-,-,-
30112017,14:00,Hap. Ramat Gan,M. Nazareth,0 : 1,-,-,-
30112017,14:00,Hapoel Hadera,H. Kfar Saba ,1 : 0,-,-,-
03122017,18:00,H. Ironi Rishon,M. Herzliya ,0 : 0,-,-,-
03122017,18:00,H. Nazareth,Ironi Nesher,1 : 1,-,-,-
03122017,18:00,Ramat Hasharon,H. Tel Aviv,1 : 2,-,-,-
07122017,14:00,Beitar Shimshon,Hapoel Hadera,1 : 1,1.85,3.50,3.75
07122017,14:00,H. Tel Aviv,H. Nazareth,4 : 1,1.44,4.00,6.50
07122017,14:00,Hapoel Katamon,Ramat Hasharon,2 : 1,1.66,3.50,4.33
07122017,14:00,M. Herzliya,H. Bnei Lod,2 : 4,2.50,3.00,2.62
07122017,14:00,M. Nazareth ,H. Petah Tikva,1 : 1,1.85,3.29,4.00
03122017,18:00,H. Ironi Rishon,M. Herzliya ,0 : 0,1.66,3.60,4.50
03122017,18:00,H. Nazareth,Ironi Nesher,1 : 1,1.75,3.79,3.75
03122017,18:00,Ramat Hasharon,H. Tel Aviv,1 : 2,5.25,3.60,1.60
10122017,18:00,H. Kfar Saba,H. Marmorek,1 : 0,1.44,4.00,6.50
10122017,18:00,Hapoel Afula,H. Ironi Rishon ,1 : 0,2.37,3.10,2.87
10122017,18:00,Ironi Nesher,Hap. Ramat Gan,0 : 2,3.10,3.29,2.14
