date,horaire,team_home,team_away,score,cote1,coteN,cote2
04112017,20:00,La Guaira,Mineros,1 : 1,-,-,-
05112017,20:30,Caracas ,Carabobo,0 : 1,-,-,-
05112017,22:45,Monagas,Estudiantes M.,1 : 1,-,-,-
06112017,01:00,Zamora,Lara,1 : 1,-,-,-
06112017,01:00,Zamora,Lara,1 : 1,-,-,-
11112017,20:30,Lara ,Zamora ,6 : 2,-,-,-
11112017,22:45,Estudiantes M.,Monagas ,0 : 1,-,-,-
12112017,22:00,Mineros ,La Guaira,2 : 1,-,-,-
12112017,00:15,Carabobo ,Caracas ,2 : 0,-,-,-
12112017,22:00,Mineros ,La Guaira,2 : 1,-,-,-
13112017,00:15,Carabobo ,Caracas ,2 : 0,-,-,-
