date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,18:00,Grasshoppers F,Bale F,0 : 3,-,-,-
28102017,18:00,Luzern F,FF Lugano 1976 F,3 : 2,-,-,-
28102017,18:00,Yverdon F,Aarau F,4 : 0,-,-,-
28102017,18:30,Young Boys F,Zurich F,1 : 2,-,-,-
02112017,20:00,Aarau F,Zurich F,1 : 5,-,-,-
02112017,20:00,Grasshoppers F,FF Lugano 1976 F,1 : 2,-,-,-
02112017,20:00,Luzern F,Yverdon F,4 : 1,-,-,-
02112017,20:00,Young Boys F,Bale F,1 : 1,-,-,-
11112017,17:00,Bale F,Zurich F,1 : 1,-,-,-
11112017,18:00,FF Lugano 1976 F,Young Boys F,0 : 2,-,-,-
11112017,18:00,Luzern F,Aarau F,4 : 1,-,-,-
11112017,20:00,Yverdon F,Grasshoppers F,2 : 1,-,-,-
18112017,16:00,Young Boys F,Yverdon F,4 : 0,-,-,-
18112017,18:00,Grasshoppers F,Luzern F,4 : 3,-,-,-
18112017,18:30,Aarau F,Bale F ,1 : 1,-,-,-
18112017,18:30,Zurich F ,FF Lugano 1976 F,0 : 0,-,-,-
