date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,18:00,Cracovia,Pogon Szczecin,3 : 0,3.20,3.10,2.30
20102017,18:00,Zaglebie,Piast,2 : 2,1.50,3.20,4.50
20102017,20:30,Gornik Z.,Korona,3 : 3,2.05,2.95,2.70
22102017,15:30,Sandecja ,Cracovia,1 : 1,2.15,2.85,2.60
22102017,18:00,Pogon Szczecin,Termalica B-B.,2 : 3,1.48,3.30,4.50
22102017,20:30,Lechia ,Lech ,3 : 3,2.55,2.70,2.30
22102017,18:00,Plock,Slask ,4 : 1,2.15,2.85,2.60
22102017,15:30,Arka,Jagiellonia,4 : 1,2.60,2.70,2.25
22102017,18:00,Wisla,Legia,0 : 1,2.40,2.85,2.30
23102017,18:00,Plock,Slask ,4 : 1,2.15,2.85,2.60
27102017,18:00,Slask,Pogon Szczecin ,3 : 0,2.20,2.85,2.55
27102017,20:30,Lech,Wisla,1 : 1,1.60,3.05,4.10
28102017,15:30,Piast,Plock,2 : 1,2.40,2.75,2.40
28102017,18:00,Cracovia,Termalica B-B.,1 : 1,2.05,2.85,2.75
28102017,20:30,Sandecja ,Gornik Z.,1 : 2,2.55,2.85,2.20
29102017,15:30,Jagiellonia,Zaglebie,3 : 1,1.90,2.85,3.05
29102017,18:00,Legia,Arka,2 : 0,1.45,3.25,4.80
30102017,18:00,Lechia,Korona,0�:�5,1.90,3.29,4.20
04112017,15:30,Plock,Jagiellonia,1 : 2,2.25,2.80,2.50
04112017,18:00,Wisla,Sandecja,3 : 0,1.72,2.95,3.60
04112017,20:30,Gornik Z.,Lech,3 : 1,3.05,3.00,1.85
05112017,15:30,Termalica B-B.,Piast,2 : 1,1.95,2.80,3.00
05112017,15:30,Zaglebie,Cracovia,1 : 2,1.58,3.05,4.20
05112017,18:00,Pogon Szczecin,Legia,1 : 3,2.45,2.80,2.30
