date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,16:00,Eschen,Balzers,3 : 0,-,-,-
22102017,16:00,Mendrisio-Stabio,Hongg,1 : 0,-,-,-
22102017,16:00,Red Star Zurich,Gossau,3 : 3,-,-,-
22102017,16:00,St. Gallen II,Tuggen,3 : 0,-,-,-
22102017,16:00,Winterthur II,Kosova,0 : 4,-,-,-
22102017,17:00,Seuzach,Wettswil-Bonstetten,4 : 2,-,-,-
22102017,18:30,Bellinzona,Thalwil,1 : 0,-,-,-
28102017,16:00,Balzers,Seuzach,4 : 0,-,-,-
28102017,16:00,Hongg,Thalwil,2 : 2,-,-,-
28102017,16:00,Tuggen,Bellinzona,2 : 5,-,-,-
28102017,16:00,Wettswil-Bonstetten,St. Gallen II,0 : 3,-,-,-
28102017,17:00,Gossau,Eschen,4 : 1,-,-,-
29102017,14:30,Mendrisio-Stabio,Winterthur II,3 : 2,-,-,-
29102017,15:30,Kosova,Red Star Zurich,1 : 2,-,-,-
04112017,15:00,Eschen,Kosova,0 : 0,-,-,-
04112017,16:00,Red Star Zurich,Mendrisio-Stabio,0 : 0,-,-,-
04112017,16:00,Thalwil,Tuggen,1 : 1,-,-,-
04112017,17:00,Seuzach,Gossau,2 : 2,-,-,-
04112017,18:30,Bellinzona,Wettswil-Bonstetten,4 : 1,-,-,-
05112017,14:30,Winterthur II,Hongg,2 : 0,-,-,-
05112017,18:00,St. Gallen II,Balzers,1 : 2,-,-,-
11112017,15:00,Eschen,Mendrisio-Stabio,0 : 1,-,-,-
11112017,16:00,Hongg,Tuggen,5 : 1,-,-,-
11112017,16:00,Red Star Zurich,Winterthur II,4 : 3,-,-,-
11112017,16:00,St. Gallen II,Gossau,2 : 1,-,-,-
11112017,17:00,Seuzach,Kosova,2 : 5,-,-,-
11112017,18:30,Bellinzona,Balzers,2 : 0,-,-,-
12112017,14:30,Thalwil,Wettswil-Bonstetten,2 : 0,-,-,-
12112017,14:30,Thalwil,Wettswil-Bonstetten,2 : 0,-,-,-
