date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,00:00,Motagua,Juticalpa,3 : 2,1.55,3.75,5.25
22102017,04:00,Petapa,Siquinala,3 : 0,-,-,-
22102017,23:30,Marathon ,Motagua,1 : 2,-,-,-
22102017,00:00,Olimpia,Real Espana,3 : 0,-,-,-
22102017,01:00,Comunicaciones,Malacateco ,3 : 0,-,-,-
22102017,19:00,Sanarate ,Xelaju ,2 : 0,-,-,-
22102017,19:30,Antigua,Guastatoya,2 : 1,-,-,-
22102017,20:00,Marquense,Municipal,1 : 0,-,-,-
22102017,22:00,Coban Imperial,Suchitepequez,2 : 1,-,-,-
22102017,00:00,UPNFM,CD Honduras,3 : 2,-,-,-
22102017,22:00,Juticalpa,Platense,5 : 1,-,-,-
22102017,22:00,Real Sociedad,Vida,2 : 1,-,-,-
23102017,00:00,Olimpia,Real Espana,3 : 0,-,-,-
26102017,03:00,Juticalpa,Marathon,3 : 0,-,-,-
26102017,03:00,UPNFM,Olimpia,-,-,-,-
26102017,18:00,Real Espana,Real Sociedad,2 : 3,-,-,-
26102017,23:00,Vida,Platense,3 : 0,-,-,-
27102017,03:00,Motagua,CD Honduras ,1 : 0,-,-,-
29102017,03:30,Xelaju,Coban Imperial ,1 : 0,-,-,-
29102017,18:00,Municipal ,Petapa,0 : 1,-,-,-
29102017,18:00,Sanarate,Antigua,0 : 2,-,-,-
29102017,18:00,Siquinala ,Guastatoya,1 : 1,-,-,-
29102017,19:00,Malacateco,Marquense,4 : 0,-,-,-
29102017,19:00,Suchitepequez ,Comunicaciones,2 : 2,-,-,-
29102017,21:00,Real Sociedad,Juticalpa,0 : 2,-,-,-
29102017,22:00,Marathon,Real Espana,1 : 0,-,-,-
29102017,22:00,Platense,UPNFM,2 : 0,-,-,-
29102017,23:00,Olimpia,Motagua,0 : 0,-,-,-
30102017,01:15,CD Honduras,Vida�,2�:�1,2.20,3.25,2.87
02112017,02:00,Platense ,Real Espana ,3 : 1,-,-,-
02112017,02:00,UPNFM ,Olimpia,0 : 2,-,-,-
