date,horaire,team_home,team_away,score,cote1,coteN,cote2
19102017,17:00,FC Astana,M. Tel Aviv,4 : 0,2.00,3.05,3.60
19102017,19:00,BATE,FC Koln,1 : 0,2.55,3.05,2.65
19102017,19:00,Crvena zvezda ,Arsenal,0 : 1,3.80,3.50,1.82
19102017,19:00,H. Beer Sheva,FCSB,1 : 2,2.15,3.10,3.15
19102017,19:00,Konyaspor,Red Bull Salzbourg,0 : 2,4.75,3.40,1.68
19102017,19:00,Lugano,Plzen,3 : 2,3.80,3.40,1.85
19102017,19:00,Marseille,Guimaraes,2 : 1,1.28,5.00,9.00
19102017,19:00,Nice,Lazio,1 : 3,2.70,3.30,2.40
19102017,19:00,Östersunds,Ath. Bilbao,2 : 2,4.50,3.40,1.72
19102017,19:00,Vardar,Real Sociedad,0 : 6,9.00,4.50,1.30
19102017,19:00,Zenit Petersburg,Rosenborg,3 : 1,1.30,4.60,8.50
19102017,19:00,Zorya,Hertha,2 : 1,3.40,2.95,2.15
19102017,19:00,Zulte-Waregem,Vitesse,1 : 1,2.10,3.30,3.10
19102017,21:05,AC Milan,AEK,0 : 0,1.40,3.90,7.50
19102017,21:05,Atalanta,Apollon,3 : 1,1.28,4.70,9.50
19102017,21:05,Austria Vienne,Rijeka,1 : 3,2.80,3.40,2.25
19102017,21:05,Braga,Ludogorets,0 : 2,2.10,3.10,3.30
19102017,21:05,Dyn. Kiev,Young Boys ,2 : 2,1.62,3.75,4.70
19102017,21:05,Everton,Lyon,1 : 2,2.65,3.30,2.40
19102017,21:05,Hoffenheim,Basaksehir,3 : 1,1.28,5.00,8.25
19102017,21:05,S. Tiraspol,Lok. Moscou,1 : 1,3.20,2.95,2.25
19102017,21:05,Skenderbeu,Partizan,0 : 0,3.70,3.10,1.95
19102017,21:05,Villarreal,Slavia Prague,2 : 2,1.55,3.50,5.75
19102017,21:05,Zlin,FC Copenhagen,1 : 1,4.10,3.05,1.90
