date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:00,Jong Ajax,Almere,3 : 0,1.29,6.00,8.50
16102017,20:00,Jong AZ,Helmond,1 : 3,1.50,4.50,5.75
20102017,20:00,Almere,Cambuur,1 : 1,-,-,-
20102017,20:00,Dordrecht,Graafschap,1 : 1,-,-,-
20102017,20:00,FC Oss,Den Bosch,1 : 1,-,-,-
20102017,20:00,G.A. Eagles,Jong Ajax ,4 : 1,-,-,-
20102017,20:00,Helmond,Telstar,1 : 2,-,-,-
20102017,20:00,Jong AZ,FC Emmen,2 : 1,-,-,-
20102017,20:00,Jong PSV,Waalwijk,3 : 2,-,-,-
20102017,20:00,Jong Utrecht,Maastricht,2 : 1,-,-,-
20102017,20:00,Sittard,Eindhoven,2 : 2,-,-,-
20102017,20:00,Volendam,Nijmegen,0 : 2,-,-,-
23102017,20:00,FC Oss,Jong AZ,2 : 1,-,-,-
27102017,20:00,Cambuur,Jong PSV,0 : 1,-,-,-
27102017,20:00,Den Bosch,Helmond,2 : 2,-,-,-
27102017,20:00,Eindhoven,Jong Ajax,2 : 3,-,-,-
27102017,20:00,FC Emmen,FC Oss,1 : 1,-,-,-
27102017,20:00,G.A. Eagles,Jong AZ,2 : 1,-,-,-
27102017,20:00,Graafschap,Sittard,2 : 0,-,-,-
27102017,20:00,Nijmegen,Jong Utrecht,3 : 1,-,-,-
27102017,20:00,Waalwijk,Dordrecht,1 : 0,-,-,-
29102017,14:30,Maastricht,Volendam,2 : 1,-,-,-
29102017,14:30,Telstar,Almere,4 : 0,-,-,-
03112017,20:00,Almere,Jong AZ,3 : 2,-,-,-
03112017,20:00,Dordrecht,Den Bosch,0 : 3,-,-,-
03112017,20:00,Helmond,FC Emmen,3 : 1,-,-,-
03112017,20:00,Jong Ajax ,Graafschap,0 : 5,-,-,-
03112017,20:00,Jong Utrecht,Eindhoven,1 : 2,-,-,-
03112017,20:00,Maastricht,Waalwijk,0 : 0,-,-,-
03112017,20:00,Nijmegen,Cambuur,3 : 1,-,-,-
03112017,20:00,Sittard,FC Oss,4 : 0,-,-,-
03112017,20:00,Telstar,G.A. Eagles,3 : 1,-,-,-
03112017,20:00,Volendam,Jong PSV,1 : 0,-,-,-
