date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:00,Jong Ajax,Almere,3 : 0,1.29,6.00,8.50
16102017,20:00,Jong AZ,Helmond,1 : 3,1.50,4.50,5.75
20102017,20:00,Almere,Cambuur,1 : 1,-,-,-
20102017,20:00,Dordrecht,Graafschap,1 : 1,-,-,-
20102017,20:00,FC Oss,Den Bosch,1 : 1,-,-,-
20102017,20:00,G.A. Eagles,Jong Ajax ,4 : 1,-,-,-
20102017,20:00,Helmond,Telstar,1 : 2,-,-,-
20102017,20:00,Jong AZ,FC Emmen,2 : 1,-,-,-
20102017,20:00,Jong PSV,Waalwijk,3 : 2,-,-,-
20102017,20:00,Jong Utrecht,Maastricht,2 : 1,-,-,-
20102017,20:00,Sittard,Eindhoven,2 : 2,-,-,-
20102017,20:00,Volendam,Nijmegen,0 : 2,-,-,-
23102017,20:00,FC Oss,Jong AZ,2 : 1,-,-,-
27102017,20:00,Cambuur,Jong PSV,0 : 1,-,-,-
27102017,20:00,Den Bosch,Helmond,2 : 2,-,-,-
27102017,20:00,Eindhoven,Jong Ajax,2 : 3,-,-,-
27102017,20:00,FC Emmen,FC Oss,1 : 1,-,-,-
27102017,20:00,G.A. Eagles,Jong AZ,2 : 1,-,-,-
27102017,20:00,Graafschap,Sittard,2 : 0,-,-,-
27102017,20:00,Nijmegen,Jong Utrecht,3 : 1,-,-,-
27102017,20:00,Waalwijk,Dordrecht,1 : 0,-,-,-
29102017,14:30,Maastricht,Volendam,2 : 1,-,-,-
29102017,14:30,Telstar,Almere,4 : 0,-,-,-
03112017,20:00,Almere,Jong AZ,3 : 2,-,-,-
03112017,20:00,Dordrecht,Den Bosch,0 : 3,-,-,-
03112017,20:00,Helmond,FC Emmen,3 : 1,-,-,-
03112017,20:00,Jong Ajax ,Graafschap,0 : 5,-,-,-
03112017,20:00,Jong Utrecht,Eindhoven,1 : 2,-,-,-
03112017,20:00,Maastricht,Waalwijk,0 : 0,-,-,-
03112017,20:00,Nijmegen,Cambuur,3 : 1,-,-,-
03112017,20:00,Sittard,FC Oss,4 : 0,-,-,-
03112017,20:00,Telstar,G.A. Eagles,3 : 1,-,-,-
03112017,20:00,Volendam,Jong PSV,1 : 0,-,-,-
17112017,20:00,Cambuur ,Sittard,1 : 0,-,-,-
17112017,20:00,Den Bosch,Volendam,3 : 1,-,-,-
17112017,20:00,Eindhoven,Maastricht,3 : 2,-,-,-
17112017,20:00,FC Emmen,Almere,2 : 2,-,-,-
17112017,20:00,FC Oss,Helmond ,0 : 0,-,-,-
17112017,20:00,G.A. Eagles,Dordrecht,0 : 3,-,-,-
17112017,20:00,Graafschap,Nijmegen,1 : 3,-,-,-
17112017,20:00,Waalwijk,Telstar,4 : 1,-,-,-
20112017,20:00,Jong AZ,Jong Ajax,4 : 2,-,-,-
20112017,20:00,Jong PSV,Jong Utrecht,2 : 0,-,-,-
26112017,20:00,Almere,Waalwijk,-,-,-,-
26112017,20:00,Den Bosch,Graafschap,-,-,-,-
26112017,20:00,Eindhoven,Cambuur,-,-,-,-
26112017,20:00,FC Emmen,Maastricht,-,-,-,-
26112017,20:00,FC Oss,Jong PSV,-,-,-,-
26112017,20:00,G.A. Eagles,Jong Utrecht,-,-,-,-
26112017,20:00,Helmond,Sittard,-,-,-,-
26112017,20:00,Jong Ajax,Dordrecht,-,-,-,-
26112017,20:00,Jong AZ,Volendam,-,-,-,-
26112017,20:00,Telstar,Nijmegen,-,-,-,-
30112017,20:00,Cambuur,Telstar,0 : 0,-,-,-
30112017,20:00,Den Bosch,G.A. Eagles,1 : 0,-,-,-
30112017,20:00,Eindhoven,FC Oss,0 : 0,-,-,-
30112017,20:00,Graafschap,Jong AZ,0 : 0,-,-,-
30112017,20:00,Maastricht,Jong Ajax,0 : 0,-,-,-
30112017,20:00,Nijmegen,Dordrecht,1 : 0,-,-,-
30112017,20:00,Volendam,Almere,0 : 0,-,-,-
30112017,20:00,Waalwijk,Helmond,0 : 0,-,-,-
03122017,20:00,Jong PSV,Sittard,2 : 0,-,-,-
03122017,20:00,Jong Utrecht,FC Emmen,1 : 0,-,-,-
07122017,20:00,Almere,Graafschap,2 : 1,4.00,3.79,1.80
07122017,20:00,Dordrecht,Maastricht,2 : 4,2.70,3.50,2.45
07122017,20:00,Helmond,Eindhoven,0 : 0,2.14,3.50,3.20
07122017,20:00,Sittard,Waalwijk ,6 : 0,1.60,4.33,4.75
07122017,20:00,Telstar,FC Emmen,0 : 0,2.54,3.50,2.60
07122017,20:00,Volendam ,Jong Utrecht,2 : 1,1.36,4.75,8.00
03122017,20:00,Jong PSV ,Sittard,2 : 3,2.37,3.50,2.79
03122017,20:00,Jong Utrecht,FC Emmen,1 : 2,3.29,3.60,2.04
10122017,20:00,FC Oss,Nijmegen,-,6.00,4.75,1.44
10122017,20:00,Jong Ajax,Den Bosch,-,1.44,4.50,6.50
10122017,20:00,Jong AZ,Cambuur,-,3.00,3.60,2.20
11122017,20:00,G.A. Eagles,Jong PSV,0 : 0,-,-,-
