date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:45,Blackburn,Plymouth,1 : 1,-,-,-
17102017,20:45,Blackpool,Bury,2 : 1,-,-,-
17102017,20:45,Bradford,Oldham,1 : 1,-,-,-
17102017,20:45,Doncaster,Portsmouth ,2 : 1,-,-,-
17102017,20:45,Gillingham FC,Wigan,1 : 1,-,-,-
17102017,20:45,Milton Keynes,Walsall,1 : 1,-,-,-
17102017,20:45,Oxford Utd,Charlton,1 : 1,-,-,-
17102017,20:45,Rochdale,Northampton,2 : 2,-,-,-
17102017,20:45,Scunthorpe,Fleetwood,1 : 1,-,-,-
17102017,20:45,Shrewsbury,Bristol Rovers,4 : 0,-,-,-
17102017,20:45,Southend,Peterborough,1 : 1,-,-,-
17102017,20:45,Wimbledon,Rotherham,3 : 1,-,-,-
22102017,16:00,Blackburn ,Portsmouth,3 : 0,-,-,-
22102017,16:00,Blackpool,Wigan,1 : 3,-,-,-
22102017,16:00,Bradford,Charlton,0 : 1,-,-,-
22102017,16:00,Doncaster,Walsall,0 : 3,-,-,-
22102017,16:00,Gillingham FC,Northampton,1 : 2,-,-,-
22102017,16:00,Milton Keynes,Oldham,4 : 4,-,-,-
22102017,16:00,Oxford Utd,Rotherham,3 : 3,-,-,-
22102017,16:00,Rochdale,Bristol Rovers,1 : 0,-,-,-
22102017,16:00,Scunthorpe,Peterborough,2 : 1,-,-,-
22102017,16:00,Shrewsbury,Fleetwood,1 : 0,-,-,-
22102017,16:00,Southend,Bury,1 : 0,-,-,-
22102017,16:00,Wimbledon,Plymouth,0 : 1,-,-,-
22102017,16:00,Albion Rovers ,Queen's Park,0 : 1,-,-,-
22102017,16:00,Alloa,East Fife,4 : 1,-,-,-
22102017,16:00,Arbroath,Airdrieonians,7 : 1,-,-,-
22102017,16:00,Forfar,Ayr,0 : 5,-,-,-
22102017,16:00,Stranraer,Raith,1 : 1,-,-,-
