date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:45,Blackburn,Plymouth,1 : 1,-,-,-
17102017,20:45,Blackpool,Bury,2 : 1,-,-,-
17102017,20:45,Bradford,Oldham,1 : 1,-,-,-
17102017,20:45,Doncaster,Portsmouth ,2 : 1,-,-,-
17102017,20:45,Gillingham FC,Wigan,1 : 1,-,-,-
17102017,20:45,Milton Keynes,Walsall,1 : 1,-,-,-
17102017,20:45,Oxford Utd,Charlton,1 : 1,-,-,-
17102017,20:45,Rochdale,Northampton,2 : 2,-,-,-
17102017,20:45,Scunthorpe,Fleetwood,1 : 1,-,-,-
17102017,20:45,Shrewsbury,Bristol Rovers,4 : 0,-,-,-
17102017,20:45,Southend,Peterborough,1 : 1,-,-,-
17102017,20:45,Wimbledon,Rotherham,3 : 1,-,-,-
22102017,16:00,Blackburn ,Portsmouth,3 : 0,-,-,-
22102017,16:00,Blackpool,Wigan,1 : 3,-,-,-
22102017,16:00,Bradford,Charlton,0 : 1,-,-,-
22102017,16:00,Doncaster,Walsall,0 : 3,-,-,-
22102017,16:00,Gillingham FC,Northampton,1 : 2,-,-,-
22102017,16:00,Milton Keynes,Oldham,4 : 4,-,-,-
22102017,16:00,Oxford Utd,Rotherham,3 : 3,-,-,-
22102017,16:00,Rochdale,Bristol Rovers,1 : 0,-,-,-
22102017,16:00,Scunthorpe,Peterborough,2 : 1,-,-,-
22102017,16:00,Shrewsbury,Fleetwood,1 : 0,-,-,-
22102017,16:00,Southend,Bury,1 : 0,-,-,-
22102017,16:00,Wimbledon,Plymouth,0 : 1,-,-,-
22102017,16:00,Albion Rovers ,Queen's Park,0 : 1,-,-,-
22102017,16:00,Alloa,East Fife,4 : 1,-,-,-
22102017,16:00,Arbroath,Airdrieonians,7 : 1,-,-,-
22102017,16:00,Forfar,Ayr,0 : 5,-,-,-
22102017,16:00,Stranraer,Raith,1 : 1,-,-,-
24102017,20:45,Oldham,Bury,2 : 1,-,-,-
28102017,15:00,Northampton,Blackpool,1 : 0,-,-,-
28102017,16:00,Bristol Rovers,Milton Keynes,2 : 0,-,-,-
28102017,16:00,Bury ,Doncaster,0 : 1,-,-,-
28102017,16:00,Charlton,Wimbledon,1 : 0,-,-,-
28102017,16:00,Fleetwood,Oxford Utd,2 : 0,-,-,-
28102017,16:00,Oldham,Scunthorpe,2 : 3,-,-,-
28102017,16:00,Peterborough,Shrewsbury,1 : 0,-,-,-
28102017,16:00,Plymouth,Rochdale,1 : 1,-,-,-
28102017,16:00,Portsmouth,Bradford,0 : 1,-,-,-
28102017,16:00,Rotherham ,Gillingham FC,1 : 3,-,-,-
28102017,16:00,Walsall,Southend,0 : 1,-,-,-
28102017,16:00,Wigan,Blackburn ,0 : 0,-,-,-
28102017,16:00,Airdrieonians,Albion Rovers ,2 : 2,-,-,-
28102017,16:00,Ayr,Stranraer ,2 : 0,-,-,-
28102017,16:00,East Fife ,Arbroath,3 : 1,-,-,-
28102017,16:00,Forfar,Raith ,1 : 1,-,-,-
28102017,16:00,Queen's Park,Alloa,0 : 4,-,-,-
31102017,20:45,Blackburn,Fleetwood,2 : 2,-,-,-
04112017,16:00,Albion Rovers,Forfar,3 : 4,-,-,-
04112017,16:00,Alloa,Airdrieonians,1 : 0,-,-,-
04112017,16:00,Arbroath,Ayr,1 : 4,-,-,-
04112017,16:00,Raith,East Fife,1 : 0,-,-,-
04112017,16:00,Stranraer,Queen's Park,3 : 0,-,-,-
11112017,13:30,Doncaster,Rotherham,1 : 1,-,-,-
11112017,16:00,Blackpool,Portsmouth,2 : 3,-,-,-
11112017,16:00,Bradford,Plymouth,0 : 1,-,-,-
11112017,16:00,Gillingham FC,Bury,1 : 1,-,-,-
11112017,16:00,Milton Keynes,Fleetwood,1 : 0,-,-,-
11112017,16:00,Oxford Utd,Northampton,1 : 2,-,-,-
11112017,16:00,Scunthorpe,Bristol Rovers,1 : 0,-,-,-
11112017,16:00,Airdrieonians,Stranraer,2 : 0,-,-,-
11112017,16:00,Albion Rovers,Alloa,0 : 2,-,-,-
11112017,16:00,Forfar,East Fife,2 : 0,-,-,-
11112017,16:00,Queen's Park,Arbroath,0 : 2,-,-,-
12112017,15:30,Wimbledon,Peterborough,2 : 2,-,-,-
12112017,15:30,Wimbledon,Peterborough,2 : 2,-,-,-
14112017,20:45,Ayr,Raith,3 : 0,-,-,-
