date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,19:00,Bursaspor ,Osmanlispor,3 : 1,2.80,3.20,2.55
20102017,19:00,Antalyaspor,Kasimpasa ,2 : 1,1.62,3.50,3.80
20102017,19:00,Goztepe,Alanyaspor,3 : 3,1.95,3.20,2.95
22102017,13:00,Osmanlispor,Karabukspor,3 : 0,1.52,3.50,4.40
22102017,15:30,Akhisar Belediye,Genclerbirligi ,3 : 3,1.62,3.25,4.10
22102017,18:30,Yeni Malatyaspor,Trabzonspor ,1 : 0,3.10,3.20,1.88
22102017,19:00,Besiktas,Basaksehir,1 : 1,1.72,3.15,3.70
22102017,13:00,Sivasspor,Bursaspor,0 : 0,1.90,3.20,3.00
22102017,15:30,Kayserispor,Konyaspor,2 : 1,2.10,2.80,3.00
22102017,18:30,Galatasaray ,Fenerbahce,0 : 0,1.85,3.10,3.25
23102017,19:00,Besiktas,Basaksehir,1 : 1,1.72,3.15,3.70
27102017,19:00,Kasimpasa,Goztepe,3 : 1,2.20,3.20,2.50
28102017,13:00,Genclerbirligi ,Yeni Malatyaspor,0 : 1,1.95,3.00,3.10
28102017,15:30,Basaksehir,Akhisar Belediye,2 : 1,1.65,3.20,4.00
28102017,18:30,Alanyaspor,Besiktas,1 : 2,4.40,3.80,1.48
29102017,12:00,Karabukspor,Sivasspor,0 : 1,2.35,3.00,2.45
29102017,12:00,Konyaspor,Osmanlispor,1 : 0,2.15,2.95,2.75
29102017,14:30,Bursaspor,Antalyaspor ,4 : 0,2.05,3.10,2.75
29102017,17:30,Trabzonspor ,Galatasaray ,2 : 1,3.15,3.05,1.90
30102017,18:00,Fenerbahce,Kayserispor,3�:�3,1.50,4.20,6.50
04112017,12:00,Kasimpasa ,Bursaspor,2 : 2,2.20,3.15,2.50
04112017,12:00,Kayserispor,Trabzonspor,0 : 0,2.30,2.95,2.50
04112017,14:30,Antalyaspor,Karabukspor ,2 : 1,1.60,3.25,4.20
04112017,17:30,Osmanlispor,Fenerbahce,1 : 1,3.05,3.10,1.95
05112017,12:00,Akhisar Belediye,Alanyaspor,0 : 4,1.72,3.50,3.30
05112017,14:30,Yeni Malatyaspor,Basaksehir,0 : 2,3.15,2.95,1.95
05112017,17:30,Goztepe ,Besiktas,1 : 3,4.50,3.70,1.48
05112017,17:30,Sivasspor,Konyaspor,2 : 1,2.05,2.90,3.00
03112017,18:00,Galatasaray,Genclerbirligi,5 : 1,1.25,4.25,7.50
17112017,18:00,Besiktas,Akhisar Belediye ,0 : 0,1.35,4.00,5.50
18112017,12:00,Bursaspor,Goztepe,0 : 0,1.90,3.30,2.95
18112017,14:30,Konyaspor,Antalyaspor,1 : 1,2.20,2.90,2.70
18112017,17:30,Basaksehir,Galatasaray,5 : 1,2.80,3.05,2.05
19112017,12:00,Alanyaspor,Yeni Malatyaspor,1 : 0,1.65,3.40,3.70
19112017,12:00,Genclerbirligi,Kayserispor,1 : 2,2.55,2.85,2.35
19112017,14:30,Trabzonspor,Osmanlispor,4 : 3,1.75,3.15,3.60
19112017,17:30,Fenerbahce,Sivasspor ,4 : 1,1.55,3.40,4.30
20112017,18:00,Karabukspor,Kasimpasa,0 : 2,2.00,3.10,2.90
25112017,12:00,Bursaspor,Karabukspor,2 : 1,1.65,3.40,3.70
25112017,12:00,Sivasspor,Trabzonspor,1 : 2,2.20,3.00,2.60
25112017,14:30,Kasimpasa,Konyaspor,2 : 1,2.35,3.00,2.45
25112017,17:30,Antalyaspor,Fenerbahce,0 : 0,2.75,3.00,2.10
