date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,01:05,Patronato,Boca Juniors,0 : 2,6.25,3.75,1.57
16102017,19:00,Aarhus ,Lyngby,0 : 2,2.00,3.60,3.50
17102017,00:05,Olimpo,Huracan,0 : 2,2.35,2.80,2.50
17102017,02:05,Arsenal Sarandi,San Martin S.J.,0 : 1,2.30,2.80,2.60
20102017,19:00,Midtjylland,Horsens,4 : 2,1.25,4.10,6.25
20102017,14:00,Drenica,KF Feronikeli,0 : 0,-,-,-
20102017,14:00,Drita ,Trepca 89,1 : 1,-,-,-
20102017,14:00,Flamurtari,Vellaznimi,1 : 1,-,-,-
20102017,14:00,Liria,Llapi Podujeve,3 : 0,-,-,-
22102017,15:30,Silkeborg,Sonderjyske,1 : 0,2.15,3.00,2.50
22102017,14:00,Prishtina,Besa Peje,4 : 0,-,-,-
22102017,14:00,Vllaznia Pozheran,Gjilani,0 : 0,-,-,-
22102017,19:00,Randers,Aalborg,1 : 1,2.20,2.80,2.55
22102017,12:00,Hobro,Nordsjaelland ,4 : 0,2.35,3.05,2.25
22102017,14:00,Lyngby,Odense,1 : 1,2.00,2.95,2.80
22102017,16:00,Helsingor,Brondby ,0 : 1,7.50,4.50,1.18
22102017,18:00,FC Copenhagen,Aarhus,4 : 0,1.48,3.30,4.50
23102017,19:00,Randers,Aalborg,1 : 1,2.20,2.80,2.55
24102017,13:30,Liria,Vellaznimi,2 : 2,-,-,-
25102017,13:30,Drenica,Llapi Podujeve,1 : 2,-,-,-
25102017,13:30,Drita,Prishtina,0 : 0,-,-,-
25102017,13:30,Flamurtari,Trepca 89,2 : 2,-,-,-
26102017,13:30,Besa Peje,Gjilani,0 : 0,-,-,-
26102017,13:30,Vllaznia Pozheran,KF Feronikeli,0 : 3,-,-,-
27102017,19:00,Aarhus,Nordsjaelland,1 : 4,2.05,3.10,2.55
28102017,02:05,Argentinos Jrs,Arsenal Sarandi,3 : 2,1.78,2.95,3.60
28102017,19:00,Huracan,Lanus,4 : 0,1.70,2.85,4.10
28102017,19:00,Union Santa Fe,Godoy Cruz,2 : 0,1.82,2.90,3.50
28102017,21:10,San Martin S.J.,Estudiantes,1 : 0,2.55,2.65,2.45
28102017,23:20,Atl. Tucuman,Racing Club,3 : 1,2.20,2.80,2.75
28102017,16:00,Helsingor,Silkeborg,2 : 0,2.70,2.90,2.05
28102017,13:30,Prishtina,Flamurtari,3 : 1,-,-,-
29102017,01:20,Talleres Cordoba,River Plate,4 : 0,1.65,3.05,4.10
29102017,15:05,Newells Old Boys,Chacarita Juniors,2 : 1,1.70,2.85,4.20
29102017,18:05,Gimnasia L.P.,Velez Sarsfield,4 : 0,2.20,2.75,2.75
29102017,20:05,Temperley,San Lorenzo,0 : 2,3.90,2.85,1.75
29102017,22:05,Boca Juniors,Belgrano ,4 : 0,1.32,3.60,6.75
29102017,12:00,Sonderjyske,Hobro,1 : 1,2.30,2.90,2.40
29102017,14:00,Lyngby,Midtjylland ,2 : 2,3.60,3.40,1.60
29102017,16:00,Horsens,FC Copenhagen ,1 : 1,4.20,3.20,1.55
29102017,18:00,Aalborg,Odense,0 : 2,2.10,2.80,2.75
29102017,13:00,Drita,Besa Peje,2 : 0,-,-,-
29102017,13:00,Llapi Podujeve,Vllaznia Pozheran,4 : 1,-,-,-
29102017,13:00,Trepca 89,Liria,2 : 0,-,-,-
29102017,13:00,Vellaznimi,Drenica,1 : 1,-,-,-
30102017,00:05,Independiente,Patronato,1�:�1,1.36,4.50,9.00
30102017,23:05,Defensa y Justicia,Olimpo,1�:�1,1.55,3.79,6.50
30102017,19:00,Brondby,Randers,3�:�1,1.39,4.50,7.50
30102017,13:00,KF Feronikeli�,Gjilani�,2�:�1,-,-,-
31102017,01:05,Tigre,Rosario,1 : 1,2.65,2.80,2.25
04112017,01:05,Godoy Cruz,Huracan ,2 : 1,2.10,2.80,2.90
04112017,18:05,Colon,San Martin S.J.,3 : 3,1.75,2.90,3.75
04112017,18:05,Lanus,Olimpo,0 : 2,1.60,3.00,4.50
04112017,20:15,San Lorenzo,Banfield,0 : 1,1.75,2.90,3.75
04112017,22:05,Rosario ,Atl. Tucuman ,0 : 1,1.50,3.30,4.70
04112017,16:00,Nordsjaelland,Lyngby ,2 : 2,1.75,3.30,3.05
04112017,13:00,Flamurtari,Drita,1 : 1,-,-,-
04112017,13:00,Liria,Prishtina,1 : 0,-,-,-
04112017,13:00,Vllaznia Pozheran,Vellaznimi,1 : 2,-,-,-
05112017,01:30,Racing Club ,Talleres Cordoba ,1 : 1,2.30,2.75,2.60
05112017,15:05,Temperley,Defensa y Justicia,1 : 4,3.70,2.90,1.78
05112017,18:05,Belgrano ,Independiente,0 : 0,2.95,2.70,2.15
05112017,18:05,Estudiantes,Argentinos Jrs ,1 : 0,1.80,2.80,3.75
05112017,22:05,River Plate ,Boca Juniors ,1 : 2,2.35,2.75,2.55
05112017,12:00,FC Copenhagen,Brondby,0 : 1,2.40,2.75,2.40
05112017,14:00,Odense,Sonderjyske,0 : 3,1.95,2.85,2.95
05112017,16:00,Randers,Aarhus ,1 : 0,2.05,2.85,2.80
05112017,18:00,Hobro,Aalborg,0 : 1,2.35,2.75,2.45
05112017,13:00,Besa Peje,KF Feronikeli,0 : 5,-,-,-
05112017,13:00,Gjilani,Llapi Podujeve,2 : 0,-,-,-
03112017,23:05,Chacarita Juniors,Gimnasia L.P.,2 : 0,2.65,2.70,2.30
03112017,18:00,Midtjylland,Helsingor,2 : 1,1.15,4.80,8.00
