date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:30,Central Cordoba,El Porvenir ,1 : 0,-,-,-
17102017,20:30,Ituzaingo,Club Lujan,2 : 1,-,-,-
17102017,20:30,Leandro N. Alem ,Justo Jose de Urquiza,1 : 2,-,-,-
18102017,20:30,Argentino de Quilmes,Deportivo Merlo,1 : 0,-,-,-
18102017,20:30,Def. de Cambaceres,Excursionistas,2 : 1,-,-,-
18102017,20:30,Defensores Unidos,Berazategui ,5 : 0,-,-,-
18102017,20:30,Dock Sud ,Deportivo Armenio,0 : 2,-,-,-
18102017,20:30,Laferrere,San Martin Burzaco,2 : 0,-,-,-
18102017,20:30,Midland,Canuelas,0 : 2,-,-,-
18102017,20:30,Sportivo Barracas,Sportivo Italiano ,1 : 4,-,-,-
28102017,20:30,El Porvenir,Ituzaingo,0 : 1,-,-,-
28102017,20:30,Excursionistas ,Midland ,0 : 1,-,-,-
29102017,19:30,Canuelas,Defensores Unidos,0 : 1,-,-,-
29102017,19:30,Deportivo Armenio,Argentino de Quilmes ,0 : 2,-,-,-
29102017,19:30,Justo Jose de Urquiza,Dock Sud,1 : 1,-,-,-
30102017,19:30,Club Lujan,Sportivo Italiano,1�:�1,2.37,2.79,3.00
30102017,20:00,Deportivo Merlo,Def. de Cambaceres,0�:�1,1.83,3.10,4.00
31102017,19:30,Berazategui,Central Cordoba,0 : 4,-,-,-
31102017,19:30,Laferrere,Sportivo Barracas ,0 : 0,-,-,-
31102017,19:30,San Martin Burzaco,Leandro N. Alem,1 : 0,-,-,-
04112017,19:30,Defensores Unidos,Excursionistas ,1 : 0,-,-,-
04112017,19:30,Ituzaingo,Berazategui ,4 : 1,-,-,-
04112017,19:30,Sportivo Italiano,El Porvenir,2 : 2,-,-,-
05112017,19:30,Central Cordoba,Canuelas,1 : 2,-,-,-
05112017,19:30,Dock Sud,San Martin Burzaco,2 : 0,-,-,-
05112017,19:30,Leandro N. Alem,Laferrere,1 : 0,-,-,-
05112017,19:30,Sportivo Barracas,Club Lujan,0 : 2,-,-,-
03112017,19:30,Argentino de Quilmes,Justo Jose de Urquiza,3 : 1,-,-,-
