date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,18:30,Narva ,Flora,0 : 7,9.00,4.75,1.14
22102017,12:00,Kalju,Paide,2 : 2,1.23,4.40,6.25
22102017,12:00,Sillamae,Infonet Tallinn,1 : 0,5.75,4.40,1.25
22102017,15:00,Levadia,Tulevik,6 : 0,1.01,8.75,19.00
22102017,18:00,Tammeka,Parnu JK Vaprus,2 : 1,1.14,4.90,8.50
27102017,18:30,Narva,Levadia,0 : 0,10.00,5.50,1.09
28102017,12:00,Parnu JK Vaprus,Infonet Tallinn,1 : 4,16.00,9.00,1.01
28102017,12:00,Sillamae ,Paide,1 : 3,1.58,3.25,3.90
28102017,12:00,Tulevik,Kalju,1 : 3,8.25,4.75,1.15
28102017,18:00,Flora,Tammeka,2 : 0,1.05,6.25,11.00
