date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,01:10,Dep. Capiata,Rubio Nu,1 : 2,2.10,3.10,3.40
17102017,23:00,Guarani,Libertad,2 : 0,-,-,-
17102017,01:00,Carabobo,Monagas,4 : 1,-,-,-
17102017,21:30,La Guaira,Aragua,0 : 1,-,-,-
17102017,21:30,Portuguesa,Anzoategui,3 : 0,-,-,-
18102017,01:10,Cerro Porteno,Independiente F.B.C.,1 : 0,-,-,-
18102017,23:00,Nacional Asuncion,Sol De America,0 : 1,-,-,-
18102017,21:00,Atl. Socopo,Mineros,0 : 0,-,-,-
18102017,21:00,JBL Zulia,Caracas,2 : 0,-,-,-
18102017,21:30,Lara ,Estudiantes M. ,3 : 3,-,-,-
18102017,23:00,Dep. Tachira,Metropolitanos,0 : 0,-,-,-
19102017,01:10,Rubio Nu,Olimpia Asuncion ,0 : 0,-,-,-
19102017,23:00,Diaz,Sportivo Trinidense,0 : 0,-,-,-
19102017,00:00,Trujillanos,Zamora,0 : 2,-,-,-
19102017,01:30,Atl. Venezuela,Zulia,3 : 1,-,-,-
20102017,01:10,Sp. Luqueño,Dep. Capiata,0 : 0,-,-,-
22102017,23:00,Libertad,Cerro Porteno ,2 : 3,-,-,-
22102017,21:30,Liverpool M.,Club Nacional,-,-,-,-
22102017,21:30,Plaza Colonia,Juventud,-,-,-,-
22102017,21:30,Racing Montevideo,Rampla Juniors,-,-,-,-
22102017,21:30,River Plate,Sud America,-,-,-,-
22102017,01:10,Olimpia Asuncion,Sp. Luqueño,3 : 2,-,-,-
22102017,01:10,Nacional Asuncion,Rubio Nu,1 : 1,-,-,-
22102017,23:00,Sol De America ,Sportivo Trinidense,2 : 1,-,-,-
22102017,21:30,Boston River,Wanderers,-,-,-,-
22102017,21:30,Cerro CA,Danubio,-,-,-,-
22102017,21:30,El Tanque Sisley,Fenix,-,-,-,-
22102017,23:00,Penarol,Defensor Sp.,-,-,-,-
22102017,21:30,Anzoategui,Atl. Venezuela,1 : 1,-,-,-
22102017,21:30,Aragua,Trujillanos,0 : 1,-,-,-
22102017,21:30,Caracas ,Lara,0 : 2,-,-,-
22102017,21:30,Estudiantes M.,JBL Zulia,2 : 0,-,-,-
22102017,21:30,Metropolitanos ,Monagas,0 : 2,-,-,-
22102017,21:30,Mineros,Dep. Tachira,0 : 0,-,-,-
22102017,21:30,Portuguesa,La Guaira,3 : 0,-,-,-
22102017,21:30,Zamora,Carabobo ,2 : 1,-,-,-
22102017,21:30,Zulia,Atl. Socopo,3 : 0,-,-,-
23102017,01:10,Olimpia Asuncion,Sp. Luqueño,3 : 2,-,-,-
