date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,13:00,Malavan,Aluminium Arak,1 : 0,1.83,2.80,4.75
16102017,13:30,Bargh,Baderan Tehran,2 : 0,2.05,2.80,3.80
16102017,13:30,Gol Gohar,Iranjavan,1 : 2,1.65,2.90,6.00
16102017,13:30,Khooneh Be Khooneh ,Machine Sazi ,0 : 0,1.95,2.80,4.00
16102017,13:30,Rah Ahan ,Saba Qom ,0 : 1,2.70,2.70,2.70
16102017,13:45,Oxin Alborz,Rafsanjan,1 : 1,1.91,2.80,4.20
16102017,13:45,Shahrdari Tabriz,Naft Ahvaz,0 : 1,2.90,2.75,2.40
16102017,14:30,Mes,Mazandaran,1 : 2,2.10,2.75,3.60
16102017,14:30,Shahrdari Mahshahr,Fajr Sepasi,0 : 0,2.00,2.75,4.00
18102017,15:00,Puszcza,Ruch,2 : 1,-,-,-
18102017,15:00,Rakow,Podbeskidzie,1 : 1,-,-,-
18102017,19:00,Pogon Siedlce,Ol. Grudziadz,1 : 1,-,-,-
18102017,19:00,Sosnowiec,Chrobry Glogow,2 : 1,-,-,-
18102017,20:00,Katowice,Olsztyn,3 : 1,-,-,-
20102017,20:15,Cambrian & Clydach,Ton Pentre,5 : 1,-,-,-
20102017,20:30,Briton Ferry,Haverfordwest,0 : 3,-,-,-
20102017,20:30,Llanelli,Port Talbot,2 : 2,-,-,-
22102017,13:30,Aluminium Arak,Khooneh Be Khooneh,0 : 1,-,-,-
22102017,13:30,Baderan Tehran,Shahrdari Mahshahr,1 : 2,-,-,-
22102017,13:30,Fajr Sepasi,Rah Ahan,1 : 0,-,-,-
22102017,13:45,Machine Sazi,Oxin Alborz,2 : 2,-,-,-
22102017,15:00,Iranjavan,Malavan,1 : 1,-,-,-
22102017,15:15,Naft Ahvaz,Gol Gohar,2 : 0,-,-,-
22102017,15:30,Cwmamman United,Cwmbran Celtic,-,-,-,-
22102017,15:30,Goytre AFC,Afan Lido,-,-,-,-
22102017,15:30,Penybont,Caerau Ely,2 : 1,-,-,-
22102017,15:30,Taffs Well,Goytre United,-,-,-,-
22102017,15:30,Undy,Monmouth,4 : 2,-,-,-
22102017,12:30,Rakow,Tychy,2 : 2,-,-,-
22102017,15:00,Odra Opole,Podbeskidzie,2 : 2,-,-,-
22102017,17:00,Chojniczanka,Pogon Siedlce,0 : 2,-,-,-
22102017,17:00,Suwalki,Drutex-Bytovia,2 : 2,-,-,-
22102017,18:00,Legnica,Leczna,0 : 0,-,-,-
22102017,18:00,Stal Mielec,Chrobry Glogow,3 : 0,-,-,-
22102017,07:00,Luch Energiya,Olimpiyets,1 : 2,-,-,-
22102017,12:00,Yenisey,Yaroslavl,4 : 1,-,-,-
22102017,12:30,FC Tambov,Sibir,4 : 1,-,-,-
22102017,13:00,Orenburg,Kursk,1 : 1,-,-,-
22102017,13:00,R. Volgograd,Tomsk ,2 : 0,-,-,-
22102017,15:00,Baltika,Dynamo SPB,3 : 2,-,-,-
22102017,16:00,F. Voronezh,Khimki,0 : 1,-,-,-
22102017,16:00,Kuban,Samara,2 : 1,-,-,-
22102017,18:00,Zenit 2,Volgar-Astrakhan,1 : 2,-,-,-
22102017,13:15,Rafsanjan,Mes,1 : 0,-,-,-
22102017,13:30,Saba Qom,Shahrdari Tabriz,1 : 1,-,-,-
22102017,15:00,Puszcza,Ol. Grudziadz,2 : 1,-,-,-
22102017,17:00,Sosnowiec,Olsztyn,5 : 1,-,-,-
22102017,17:45,Katowice,Ruch,1 : 2,-,-,-
22102017,14:00,Sp. Moscou 2,Tyumen,3 : 1,-,-,-
