date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,20:30,Mouscron,Standard Liège,1 : 3,3.25,3.05,1.88
22102017,18:00,Lokeren,Charleroi,1 : 1,2.60,2.90,2.25
22102017,20:00,Eupen,Malines,4 : 1,2.25,3.10,2.50
22102017,20:00,Saint-Trond,Ostende,1 : 0,2.10,3.05,2.75
22102017,20:30,Courtrai,La Gantoise,1 : 1,3.90,3.30,1.65
22102017,14:30,Club Brugge,Antwerp,1 : 0,1.28,4.10,6.75
22102017,18:00,Anderlecht,Genk,0 : 1,1.62,3.40,3.90
22102017,20:00,Zulte-Waregem,Waasland-Beveren,2 : 5,1.52,3.60,4.20
24102017,20:30,La Gantoise,Eupen,3 : 0,1.28,4.10,6.75
24102017,20:30,Malines,Lokeren,0 : 2,1.75,3.30,3.40
24102017,20:30,Ostende,Charleroi,3 : 0,2.25,3.00,2.55
25102017,20:30,Anderlecht,Zulte-Waregem,2 : 0,1.35,4.00,5.75
25102017,20:30,Genk,Club Brugge,2 : 0,2.15,3.05,2.65
25102017,20:30,Waasland-Beveren,Courtrai,2 : 1,1.62,3.50,3.70
26102017,20:30,Antwerp,Standard Liège,0 : 0,2.85,2.90,2.10
26102017,20:30,Saint-Trond,Mouscron,1 : 0,1.50,3.50,4.60
27102017,20:30,Charleroi,La Gantoise,2 : 1,2.65,2.80,2.30
28102017,18:00,Eupen,Anderlecht,2 : 3,4.20,3.50,1.55
28102017,20:00,Lokeren,Ostende,0 : 3,2.50,3.00,2.30
28102017,20:00,Zulte-Waregem,Malines,2 : 1,1.70,3.50,3.40
28102017,20:30,Courtrai,Genk,0 : 0,3.75,3.30,1.68
29102017,14:30,Club Brugge,Saint-Trond,4 : 1,1.30,4.00,6.75
29102017,18:00,Standard Liège,Waasland-Beveren,3 : 1,1.50,3.50,4.60
29102017,20:00,Mouscron,Antwerp,2 : 2,2.50,2.90,2.35
04112017,18:00,Genk,Lokeren,0 : 0,1.22,4.40,8.25
04112017,20:00,Malines,Courtrai,2 : 0,1.60,3.40,4.00
04112017,20:00,Saint-Trond,Eupen,4 : 4,1.78,3.30,3.30
04112017,20:30,Waasland-Beveren,Mouscron,2 : 0,1.50,3.60,4.40
05112017,14:30,Antwerp,Charleroi,1 : 3,2.40,2.80,2.55
05112017,18:00,Anderlecht,Club Brugge,0 : 0,1.88,3.10,3.15
05112017,20:00,Ostende ,Zulte-Waregem,4 : 2,1.95,3.15,3.00
03112017,20:30,La Gantoise,Standard Liège,1 : 0,1.85,2.95,3.40
17112017,20:30,Charleroi,Malines ,2 : 0,1.75,3.15,3.60
18112017,18:00,Mouscron,Anderlecht,1 : 2,4.20,3.30,1.60
18112017,20:00,Courtrai ,Saint-Trond,3 : 2,2.25,2.95,2.60
18112017,20:00,Eupen,Antwerp,0 : 1,1.95,3.00,3.05
18112017,20:30,Standard Liège ,Ostende ,0 : 0,1.52,3.50,4.30
19112017,14:30,Zulte-Waregem,Genk,0 : 1,2.60,3.10,2.15
19112017,18:00,Club Brugge,Waasland-Beveren,3 : 0,1.24,4.40,7.25
19112017,20:00,Lokeren ,La Gantoise,0 : 3,4.00,3.25,1.62
25112017,14:30,Genk,Standard Liège,0 : 2,1.78,3.10,3.50
25112017,18:00,Anderlecht,Courtrai,1 : 0,1.17,5.00,8.50
25112017,20:00,Club Brugge,Zulte-Waregem,-,1.28,4.30,6.50
24112017,18:00,Antwerp,Malines,0 : 0,2.10,2.90,2.85
24112017,20:00,Ostende,Eupen,1 : 0,1.65,3.40,3.70
24112017,20:00,Saint-Trond,Lokeren ,0 : 0,1.75,3.10,3.60
24112017,20:30,Waasland-Beveren,Charleroi ,0 : 2,2.25,2.90,2.60
30112017,20:30,Charleroi,Ostende,-,1.95,2.95,3.10
02122017,14:30,Standard Liège,Antwerp,1 : 1,1.55,3.10,4.80
02122017,18:00,Eupen,Club Brugge,2 : 2,4.25,3.50,1.55
02122017,20:00,Zulte-Waregem,La Gantoise ,0 : 1,2.80,2.95,2.10
01122017,18:00,Lokeren,Anderlecht,1 : 2,5.25,3.60,1.42
01122017,20:00,Courtrai,Waasland-Beveren,4 : 1,2.45,3.15,2.25
01122017,20:00,Mouscron,Saint-Trond,1 : 1,2.55,2.95,2.30
01122017,20:30,Malines,Genk,3 : 2,2.85,3.00,2.05
09122017,14:30,Club Brugge,Lokeren,3 : 1,1.16,7.00,15.00
09122017,18:00,Anderlecht ,Charleroi ,1 : 3,1.57,4.00,5.50
09122017,20:00,Saint-Trond ,Zulte-Waregem,1 : 1,2.04,3.60,3.50
08122017,18:00,Ostende,Malines,0 : 1,1.90,3.60,3.75
08122017,20:00,Antwerp,Mouscron,1 : 0,1.60,3.79,5.75
08122017,20:00,Genk,Eupen,1 : 1,1.44,4.50,6.50
08122017,20:30,La Gantoise,Courtrai,2 : 1,1.30,5.50,9.00
07122017,20:30,Waasland-Beveren,Standard Liège,3 : 1,2.75,3.50,2.39
22122017,18:00,Mouscron,Zulte-Waregem,-,2.80,3.10,2.05
22122017,20:00,Genk,Courtrai,-,1.32,3.90,6.50
22122017,20:30,Standard Liège,Saint-Trond,-,1.52,3.30,4.70
21122017,20:30,Anderlecht,Eupen,1 : 0,1.25,4.40,6.75
21122017,20:30,Waasland-Beveren,Ostende,1 : 3,2.35,3.05,2.40
20122017,20:30,Antwerp,Lokeren,1 : 2,1.85,2.90,3.50
20122017,20:30,La Gantoise,Charleroi,1 : 0,1.70,3.00,4.00
19122017,20:30,Malines ,Club Brugge,0 : 3,4.40,3.25,1.58
16122017,14:30,Club Brugge,Anderlecht,5 : 0,1.78,3.20,3.40
16122017,18:00,Charleroi,Genk,1 : 1,2.15,2.90,2.80
16122017,20:00,Zulte-Waregem,Antwerp,1 : 2,1.78,3.10,3.50
