date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:00,Arsenal -23,Sunderland -23,2 : 0,1.44,4.33,5.25
16102017,20:00,Brighton -23,Blackburn -23 ,2 : 2,1.70,4.20,3.75
16102017,20:00,Derby -23,Liverpool -23,2 : 0,4.33,4.00,1.62
16102017,20:00,Southampton -23,Newcastle -23,6 : 2,1.40,4.75,5.25
16102017,20:00,Wolves -23,Aston Villa -23,0 : 2,1.75,4.00,3.50
20102017,14:00,Brighton -23,Middlesbrough -23,2 : 2,-,-,-
20102017,15:00,Everton -23,Sunderland -23,0 : 1,-,-,-
20102017,20:00,Newcastle -23,Blackburn -23,0 : 2,-,-,-
20102017,20:00,Norwich -23,Southampton -23,3 : 0,-,-,-
20102017,20:00,Stoke -23,West Brom -23 ,4 : 2,-,-,-
22102017,12:00,Manchester City -23,Derby -23,4 : 1,-,-,-
23102017,13:00,Tottenham -23,Arsenal -23,3 : 2,-,-,-
23102017,20:00,Leicester -23,Swansea -23 ,2 : 0,-,-,-
23102017,20:00,Manchester Utd -23,Liverpool -23,1 : 3,-,-,-
23102017,20:00,Reading -23,Aston Villa -23,3 : 2,-,-,-
23102017,20:00,Wolves -23,Fulham -23,1 : 4,-,-,-
27102017,20:00,Derby -23,Tottenham -23,1 : 0,-,-,-
27102017,20:00,Fulham -23,Norwich -23,2 : 0,-,-,-
27102017,20:00,Swansea -23 ,Everton -23,1 : 2,-,-,-
28102017,14:00,Chelsea -23,Arsenal -23,2 : 2,-,-,-
28102017,14:00,West Ham -23,Manchester City -23,2 : 1,-,-,-
29102017,13:00,Sunderland -23,Manchester Utd -23,0 : 1,-,-,-
29102017,14:00,Liverpool -23,Leicester -23,1 : 2,-,-,-
29102017,14:00,Middlesbrough -23,Wolves -23,3 : 1,-,-,-
30102017,20:00,Aston Villa -23,Newcastle -23�,6�:�0,1.44,4.50,5.50
30102017,20:00,Blackburn -23,Stoke -23,2�:�0,1.61,3.60,4.50
30102017,20:00,Southampton -23�,Brighton -23,0�:�1,1.70,4.00,4.00
30102017,20:00,West Brom -23,Reading -23,0�:�2,2.39,3.60,2.50
17112017,20:00,West Ham -23,Derby -23,1 : 5,-,-,-
18112017,13:00,Tottenham -23,Chelsea -23,2 : 3,-,-,-
18112017,14:00,Manchester Utd -23,Manchester City -23,1 : 1,-,-,-
18112017,15:00,Stoke -23,Brighton -23,2 : 3,-,-,-
18112017,20:00,Liverpool -23,Everton -23,4 : 0,-,-,-
20112017,14:00,Aston Villa -23,Blackburn -23,0 : 3,-,-,-
20112017,14:30,West Brom -23,Middlesbrough -23,0 : 1,-,-,-
20112017,20:00,Leicester -23,Sunderland -23,0 : 0,-,-,-
20112017,20:00,Newcastle -23,Reading -23 ,4 : 1,-,-,-
20112017,20:00,Southampton -23,Fulham -23,3 : 4,-,-,-
20112017,20:00,Swansea -23,Arsenal -23,3 : 1,-,-,-
20112017,20:00,Wolves -23,Norwich -23,4 : 2,-,-,-
25112017,13:00,Sunderland -23,Swansea -23 ,0 : 2,-,-,-
25112017,14:00,Middlesbrough -23,Southampton -23,3 : 3,-,-,-
25112017,15:00,Norwich -23,Aston Villa -23,1 : 2,-,-,-
25112017,15:00,Stoke -23,Reading -23,2 : 3,-,-,-
24112017,14:00,Manchester City -23,Tottenham -23,4 : 2,-,-,-
24112017,15:00,Chelsea -23,Liverpool -23,1 : 3,-,-,-
