date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,19:00,Kalmar,Hammarby,2 : 0,1.83,3.60,4.33
16102017,19:00,Norrkoping,Malmo FF,1 : 3,3.90,3.80,1.83
20102017,19:00,Örebro,Halmstad,0 : 1,1.60,3.40,3.60
22102017,16:00,AFC Eskilstuna,Elfsborg,2 : 3,2.55,3.15,2.05
22102017,19:00,Hammarby,Sirius,3 : 3,1.65,3.30,3.40
22102017,19:00,Jonkopings,Kalmar,2 : 0,2.35,2.75,2.45
22102017,19:00,Malmo FF,AIK Stockholm,0 : 0,1.90,3.00,2.90
22102017,15:00,Göteborg,Östersunds,0 : 1,2.25,3.00,2.35
22102017,15:00,Sundsvall,Norrkoping,2 : 2,2.40,2.95,2.25
22102017,17:30,Djurgarden,Hacken,1 : 1,1.58,3.40,3.70
23102017,19:00,Hammarby,Sirius,3 : 3,1.65,3.30,3.40
23102017,19:00,Jonkopings,Kalmar,2 : 0,2.35,2.75,2.45
23102017,19:00,Malmo FF,AIK Stockholm,0 : 0,1.90,3.00,2.90
28102017,14:00,Östersunds,Elfsborg,4 : 1,1.35,3.90,5.00
28102017,16:00,Halmstad,AFC Eskilstuna,1 : 1,1.75,3.15,3.20
29102017,15:00,Sirius,Malmo FF,0 : 4,3.50,3.40,1.62
29102017,15:00,Sundsvall,Hammarby,1 : 4,1.80,3.15,3.05
29102017,17:30,Djurgarden,Jonkopings,0 : 0,1.35,3.70,5.50
29102017,17:30,Hacken ,Kalmar,2 : 0,1.45,3.40,4.60
30102017,19:00,AIK Stockholm,G�teborg,2�:�1,1.36,5.00,7.50
30102017,19:00,Norrkoping,�rebro,2�:�0,1.60,4.00,5.25
05112017,15:00,AFC Eskilstuna,Sirius,1 : 3,2.40,3.10,2.15
05112017,15:00,Elfsborg,Norrkoping,3 : 3,2.30,3.20,2.20
05112017,15:00,Göteborg,Sundsvall,0 : 3,1.95,3.05,2.75
05112017,15:00,Hammarby,Halmstad,1 : 3,1.35,3.80,5.00
05112017,15:00,Jonkopings,Östersunds,0 : 0,2.95,3.10,1.85
05112017,15:00,Kalmar,Djurgarden,0 : 2,4.10,3.40,1.52
05112017,15:00,Malmo FF,Hacken,1 : 2,1.68,3.30,3.30
05112017,15:00,Örebro,AIK Stockholm,1 : 2,3.70,3.40,1.58
