date,horaire,team_home,team_away,score,cote1,coteN,cote2
10112017,18:30,Nœux-les-Mines,Lens ,0 : 5,-,-,-
11112017,14:00,FCA Troyes,Valenciennes ,0 : 2,-,-,-
11112017,14:00,Langon FC ,Colomiers  ,0 : 1,-,-,-
11112017,14:00,Tour Saint Clair,Gueugnon ,0 : 1,-,-,-
11112017,14:00,Tremery ,Biesheim ,0 : 1,-,-,-
11112017,14:30,Stella Maris Douarnenez,Lorient ,0 : 4,-,-,-
11112017,15:00,Lusitanos St-Maur,Aubervilliers ,0 : 2,-,-,-
11112017,15:00,Tournefeuille ,Niort ,1 : 5,-,-,-
11112017,16:00,Amneville,Schiltigheim SC ,1 : 3 (1 : 1),-,-,-
11112017,16:00,Feignies-Aulnoye,Excelsior AS ,1 : 3,-,-,-
11112017,16:00,Villefranche,Sochaux ,1 : 2,-,-,-
11112017,17:00,ASE Matoury ,Avranches,1 : 0 (0 : 0),-,-,-
11112017,17:00,Chamalieres,Auxerre ,1 : 3,-,-,-
11112017,17:00,ES Tarentaise ,4 Rivières 70,2 : 0,-,-,-
11112017,17:00,Feurs,Lyon Duchère AS ,1 : 2,-,-,-
11112017,17:00,Forbach,Nancy ,0 : 1,-,-,-
11112017,17:00,Grandvillars,Morteau Montlebon ,1 : 3,-,-,-
11112017,17:00,Hazebrouck ,Quevilly-Rouen,2 : 1,-,-,-
11112017,17:00,Pontarlier ,FC Mulhouse,2 : 1,-,-,-
11112017,17:00,Sannois St-Gratien ,Lössi,7 : 1,-,-,-
11112017,18:00,AF Virois,Chambly  ,0 : 1,-,-,-
11112017,18:00,Annecy,Grenoble Foot ,1 : 3,-,-,-
11112017,18:00,Bayonne,Stade Bordelais ,0 : 2,-,-,-
11112017,18:00,Epernay RC,Raon-l'Étape ,0 : 2,-,-,-
11112017,18:00,Epinal ,CS Moulien,6 : 2,-,-,-
11112017,18:00,Montauban,La Brède ,0 : 1 (0 : 0),-,-,-
11112017,18:00,Moulins-Yzeure ,Clermont,1 : 0,-,-,-
11112017,18:00,Romorantin ,Diables Noirs,10 : 1,-,-,-
11112017,18:00,Stade Briochin ,Geldar Kourou,9 : 1,-,-,-
11112017,18:00,Stade Pontivyen,Laval ,0 : 3,-,-,-
11112017,18:00,Valdaine,Fabregues ,0 : 4,-,-,-
11112017,18:00,Vitré ,Colomban-Locminé,5 : 1,-,-,-
11112017,18:30,ASPTT Caen,Le Mans ,0 : 1,-,-,-
11112017,18:30,Balma,Les Herbiers ,0 : 3,-,-,-
11112017,18:30,Cambrai,Dunkerque  ,0 : 1,-,-,-
11112017,18:30,Concarneau ,Golden Lion,7 : 0,-,-,-
11112017,18:30,US Ittenheim,Haguenau ,0 : 2,-,-,-
11112017,19:00,Angouleme ,Bressuire,2 : 0,-,-,-
11112017,19:00,Arras ,Lucciana,3 : 2 (1 : 1),-,-,-
11112017,19:00,Avoine,Chateauroux ,2 : 3 (2 : 2),-,-,-
11112017,19:00,Canet Roussillon ,Ales ,3 : 0,-,-,-
11112017,19:00,Seyssinet,Bourg-en-Bresse ,2 : 3,-,-,-
11112017,19:30,Les Sables-d'Olonne,Saumur ,1 : 2 (1 : 1),-,-,-
11112017,20:00,Stade Ygossais,Paris FC ,0 : 3,-,-,-
11112017,23:00,L'Étoile,Saint-Lô FC ,1 : 4,-,-,-
12112017,00:00,Club Colonial,ASM Belfort ,2 : 3,-,-,-
12112017,02:00,Tefana,Rodez ,0 : 3,-,-,-
12112017,12:00,Petite-Ile,Beauvais ,0 : 1,-,-,-
12112017,14:00,Alberes Argeles ,Marseille Endoume,3 : 2 (2 : 2),-,-,-
12112017,14:00,Avallon ,Hauts Lyonnais,2 : 1 (1 : 1),-,-,-
12112017,14:00,Bellevue Nantes,Limoges  ,2 : 3 (1 : 1),-,-,-
12112017,14:00,Bron Grand Lyon,Imphy-Decize ,0 : 3,-,-,-
12112017,14:00,Cagnes-Le Cros,GFC Ajaccio ,1 : 4,-,-,-
12112017,14:00,Chantilly,RCF Colombes ,0 : 3,-,-,-
12112017,14:00,Chaumont FC,Le Puy ,0 : 3,-,-,-
12112017,14:00,Evreux ,Le Havre,3 : 2,-,-,-
12112017,14:00,Feytiat,Cholet ,1 : 6,-,-,-
12112017,14:00,Granville ,Vierzon,3 : 2,-,-,-
12112017,14:00,Hegenheim,St-Louis Neuweg ,2 : 3,-,-,-
12112017,14:00,Houilles ,Bretteville Sur Odon ,1 : 0,-,-,-
12112017,14:00,Les Ulis ,Boulogne  ,0 : 1,-,-,-
12112017,14:00,Lille Fives ,Itancourt Neuville,2 : 1 (1 : 1),-,-,-
