date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,20:20,O. Ljubljana,Triglav,3 : 0,1.16,4.50,8.50
22102017,13:00,Celje,Aluminij,1 : 2,1.82,2.85,3.30
22102017,15:00,Gorica,Domzale,1 : 3,2.95,2.95,1.90
22102017,20:20,Maribor,Ankaran Hrvatini,1 : 0,1.10,5.50,9.00
22102017,14:30,FK Skopje,Akademija Pandev,1 : 1,2.95,2.95,2.00
22102017,14:30,Pobeda,Vardar,1 : 0,5.25,3.80,1.38
22102017,14:30,Rabotnicki,Pelister,2 : 0,1.88,2.95,3.25
22102017,14:30,Shkendija,Shkupi,4 : 1,1.18,4.50,9.25
22102017,14:30,Sileks,Renova,0 : 0,1.85,2.90,3.40
24102017,17:30,Krsko ,Rudar,0 : 3,3.00,2.85,1.95
25102017,14:30,Akademija Pandev,Shkendija,3 : 2,3.30,3.15,1.78
25102017,14:30,Pelister,Sileks,1 : 2,1.60,3.05,4.40
25102017,14:30,Rabotnicki,Vardar,3 : 1,4.50,3.30,1.52
25102017,14:30,Renova,FK Skopje ,5 : 1,1.65,2.90,4.30
25102017,14:30,Shkupi,Pobeda,1 : 0,1.72,3.10,3.60
28102017,13:30,Renova,Akademija Pandev,3 : 1,1.72,3.15,3.50
28102017,13:00,Ankaran Hrvatini,Krsko,1 : 1,2.70,3.00,2.00
28102017,15:00,Triglav,Celje,0 : 2,2.70,2.85,2.10
28102017,20:20,Domzale,Maribor,0 : 1,2.10,2.80,2.70
29102017,13:30,FK Skopje,Pelister ,1 : 0,2.35,2.80,2.50
29102017,13:30,Pobeda ,Shkendija,0 : 2,5.50,4.00,1.35
29102017,13:30,Rabotnicki,Shkupi,1 : 0,1.50,3.25,4.90
29102017,13:30,Sileks ,Vardar,0 : 0,4.60,3.30,1.52
29102017,16:50,Rudar,O. Ljubljana,0 : 0,3.75,2.95,1.68
29102017,18:45,Aluminij,Gorica,0 : 3,2.60,2.80,2.20
04112017,13:00,Gorica,Triglav,0 : 3,1.35,3.60,5.50
04112017,15:00,Aluminij,Domzale,0 : 1,4.00,3.25,1.55
04112017,20:20,Krsko,Maribor,0 : 5,6.25,3.75,1.30
05112017,13:30,Akademija Pandev,Pobeda,0 : 1,1.48,3.40,4.90
05112017,13:30,Pelister,Renova,2 : 1,1.78,2.90,3.70
05112017,13:30,Shkendija,Rabotnicki ,2 : 1,1.18,4.70,8.50
05112017,13:30,Shkupi,Sileks,0 : 1,1.78,2.80,3.90
05112017,13:30,Vardar,FK Skopje,3 : 0,1.13,5.00,10.50
05112017,16:50,O. Ljubljana,Ankaran Hrvatini,1 : 0,1.05,6.25,11.00
