date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,14:30,Akragas,Juve Stabia,1 : 2,-,-,-
22102017,14:30,Monopoli,Reggina 1914,1 : 1,-,-,-
22102017,14:30,Rende,Paganese,1 : 0,-,-,-
22102017,16:30,Andria,Fondi,1 : 3,-,-,-
22102017,16:30,Casertana,Siracusa,0 : 1,-,-,-
22102017,16:30,Cosenza,Bisceglie,2 : 1,-,-,-
22102017,20:30,Catania ,Sicula Leonzio,1 : 2,-,-,-
22102017,20:30,Matera,Lecce,0 : 1,-,-,-
23102017,20:45,Trapani,Catanzaro,3 : 3,-,-,-
28102017,14:30,Paganese,Monopoli,0 : 1,-,-,-
28102017,14:30,Sicula Leonzio,Akragas ,2 : 0,-,-,-
28102017,14:30,Siracusa,Virtus Francavilla,1 : 0,-,-,-
28102017,16:30,Bisceglie ,Trapani,0 : 3,-,-,-
28102017,18:30,Catanzaro,Andria,0 : 0,-,-,-
28102017,18:30,Juve Stabia ,Rende,1 : 0,-,-,-
28102017,20:30,Fondi,Casertana,0 : 0,-,-,-
28102017,20:30,Reggina 1914,Catania,2 : 1,-,-,-
30102017,20:45,Lecce,Cosenza,1�:�0,1.44,4.00,6.50
04112017,14:30,Siracusa ,Paganese,2 : 3,-,-,-
04112017,16:30,Catania,Bisceglie,4 : 1,-,-,-
04112017,16:30,Cosenza,Fondi ,1 : 1,-,-,-
04112017,16:30,Matera,Juve Stabia ,1 : 1,-,-,-
04112017,16:30,Virtus Francavilla,Catanzaro,1 : 0,-,-,-
04112017,18:30,Casertana ,Reggina 1914 ,0 : 0,-,-,-
04112017,18:30,Trapani,Akragas,1 : 0,-,-,-
04112017,20:30,Andria,Lecce,1 : 1,-,-,-
04112017,20:30,Rende,Sicula Leonzio,1 : 0,-,-,-
07112017,14:30,Akragas,Cosenza,0 : 2,-,-,-
07112017,14:30,Paganese,Catania,2 : 5,-,-,-
07112017,14:30,Sicula Leonzio,Andria,1 : 1,-,-,-
07112017,14:30,Trapani,Rende,4 : 0,-,-,-
07112017,16:30,Bisceglie,Matera,2 : 1,-,-,-
07112017,16:30,Catanzaro,Monopoli,1 : 0,-,-,-
07112017,18:30,Juve Stabia,Virtus Francavilla,1 : 1,-,-,-
07112017,18:30,Lecce,Casertana,2 : 1,-,-,-
07112017,18:30,Reggina 1914,Siracusa,0 : 2,-,-,-
11112017,14:30,Fondi,Sicula Leonzio,2 : 1,-,-,-
11112017,14:30,Matera,Trapani ,3 : 3,-,-,-
11112017,14:30,Monopoli,Rende,0 : 1,-,-,-
11112017,16:30,Siracusa,Lecce,1 : 3,-,-,-
11112017,18:30,Cosenza,Juve Stabia,1 : 0,-,-,-
11112017,20:30,Andria,Bisceglie,0 : 0,-,-,-
11112017,20:30,Casertana,Paganese,3 : 0,-,-,-
12112017,16:30,Virtus Francavilla ,Akragas,2 : 0,-,-,-
12112017,18:30,Catania,Catanzaro,1 : 0,-,-,-
12112017,16:30,Virtus Francavilla ,Akragas,2 : 0,-,-,-
12112017,18:30,Catania,Catanzaro,1 : 0,-,-,-
18112017,14:30,Akragas,Andria,1 : 5,-,-,-
18112017,14:30,Juve Stabia,Catania,0 : 1,-,-,-
18112017,14:30,Paganese,Fondi,2 : 2,-,-,-
18112017,14:30,Sicula Leonzio,Casertana,1 : 1,-,-,-
18112017,14:30,Trapani,Virtus Francavilla,3 : 1,-,-,-
18112017,16:30,Rende,Matera,2 : 0,-,-,-
18112017,20:30,Bisceglie,Monopoli,2 : 1,-,-,-
18112017,20:30,Lecce,Reggina 1914 ,3 : 2,-,-,-
19112017,14:30,Catanzaro,Cosenza,2 : 1,-,-,-
24112017,14:30,Andria ,Trapani,0 : 1,-,-,-
24112017,16:30,Cosenza,Sicula Leonzio,0 : 0,-,-,-
24112017,16:30,Fondi,Lecce,0 : 0,-,-,-
24112017,16:30,Monopoli,Juve Stabia ,0 : 2,-,-,-
24112017,16:30,Reggina 1914,Bisceglie,0 : 0,-,-,-
24112017,18:30,Casertana,Rende,0 : 0,-,-,-
24112017,18:30,Matera,Virtus Francavilla,2 : 1,-,-,-
24112017,20:30,Catania,Akragas ,2 : 0,-,-,-
24112017,20:30,Siracusa,Catanzaro ,2 : 1,-,-,-
30112017,20:45,Trapani,Catania,-,-,-,-
28112017,16:30,Sicula Leonzio,Catanzaro,1 : 2,-,-,-
02122017,16:30,Akragas ,Reggina 1914,1 : 0,-,-,-
02122017,16:30,Bisceglie,Siracusa,0 : 1,-,-,-
02122017,16:30,Catanzaro ,Fondi ,1 : 0,-,-,-
02122017,16:30,Rende,Cosenza,0 : 0,-,-,-
02122017,16:30,Sicula Leonzio,Paganese,0 : 3,-,-,-
02122017,16:30,Virtus Francavilla,Monopoli,2 : 1,-,-,-
02122017,20:30,Juve Stabia,Casertana,2 : 2,-,-,-
02122017,20:30,Matera,Andria,2 : 1,-,-,-
09122017,14:30,Cosenza,Virtus Francavilla ,4 : 1,1.61,3.60,5.00
09122017,14:30,Fondi,Akragas,3 : 0,1.64,3.39,5.25
09122017,14:30,Monopoli,Trapani ,0 : 0,3.79,3.25,1.90
09122017,14:30,Siracusa,Juve Stabia,0 : 0,2.50,3.10,2.70
09122017,16:30,Andria,Rende,3 : 1,2.20,2.89,3.39
09122017,16:30,Paganese,Lecce,1 : 1,5.25,3.60,1.60
09122017,20:30,Casertana,Bisceglie,0 : 1,2.62,3.10,2.54
09122017,20:30,Catania,Matera,0 : 1,1.90,3.20,3.79
09122017,20:30,Reggina 1914,Sicula Leonzio,0 : 2,2.25,3.00,3.20
22122017,14:30,Juve Stabia,Andria,-,-,-,-
22122017,14:30,Reggina 1914,Rende,-,-,-,-
22122017,16:30,Bisceglie,Paganese,-,-,-,-
22122017,16:30,Casertana,Catanzaro,-,-,-,-
22122017,16:30,Cosenza,Monopoli,-,-,-,-
22122017,16:30,Fondi,Catania,-,-,-,-
22122017,20:30,Lecce,Virtus Francavilla,-,-,-,-
22122017,20:30,Siracusa,Trapani,-,-,-,-
21122017,16:30,Akragas,Matera,1 : 1,-,-,-
16122017,14:30,Trapani ,Cosenza,1 : 2,-,-,-
16122017,16:30,Bisceglie ,Fondi,0 : 2,-,-,-
16122017,16:30,Catanzaro,Paganese,1 : 1,-,-,-
16122017,16:30,Lecce,Monopoli,2 : 0,-,-,-
16122017,16:30,Rende,Catania,0 : 3,-,-,-
16122017,16:30,Sicula Leonzio,Siracusa,0 : 0,-,-,-
16122017,18:30,Virtus Francavilla,Andria ,2 : 1,-,-,-
16122017,20:30,Matera ,Casertana,1 : 0,-,-,-
29122017,14:30,Catania,Casertana,1 : 2,-,-,-
29122017,14:30,Matera,Sicula Leonzio ,2 : 0,-,-,-
29122017,14:30,Monopoli,Fondi,1 : 0,-,-,-
29122017,16:30,Andria,Siracusa,2 : 0,-,-,-
29122017,16:30,Catanzaro,Reggina 1914,0 : 1,-,-,-
29122017,16:30,Paganese,Cosenza,0 : 2,-,-,-
29122017,16:30,Rende,Akragas ,2 : 0,-,-,-
29122017,18:30,Virtus Francavilla,Bisceglie,0 : 0,-,-,-
28122017,18:30,Trapani,Lecce,1 : 1,-,-,-
