date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,18:00,Furth II,Nurnberg II,0 : 2,2.60,3.25,2.50
17102017,19:00,Rosenheim,Bayern II,0 : 2,-,-,-
20102017,19:00,Buchbach,Memmingen,1 : 1,-,-,-
20102017,19:00,Illertissen,Augsburg II,2 : 0,-,-,-
20102017,19:00,Schweinfurt,Garching,3 : 0,-,-,-
22102017,14:00,Furth II,Unterfohring,1 : 2,-,-,-
22102017,14:00,Ingolstadt II,Eichstatt ,6 : 0,-,-,-
22102017,14:00,Nurnberg II,Burghausen,1 : 0,-,-,-
22102017,14:00,Rosenheim ,SpVgg Bayreuth,1 : 0,-,-,-
22102017,14:00,Seligenporten,Pipinsried ,3 : 0,-,-,-
22102017,15:00,Munich 1860 ,Bayern II,0 : 1,-,-,-
27102017,19:00,Bayern II,Illertissen,1 : 1,-,-,-
27102017,19:30,Memmingen,Rosenheim,0 : 1,-,-,-
28102017,14:00,Augsburg II,Seligenporten,2 : 2,-,-,-
28102017,14:00,Burghausen,Buchbach,2 : 5,-,-,-
28102017,14:00,Eichstatt,Garching,2 : 1,-,-,-
28102017,14:00,Nurnberg II,Unterfohring,5 : 0,-,-,-
28102017,14:00,Pipinsried ,Ingolstadt II,2 : 5,-,-,-
28102017,14:00,Schweinfurt,Furth II,2 : 0,-,-,-
28102017,14:00,SpVgg Bayreuth,Schalding,0 : 3,-,-,-
31102017,14:00,Furth II,Eichstatt,2 : 2,-,-,-
31102017,14:00,Garching,Pipinsried,1 : 3,-,-,-
31102017,14:00,Ingolstadt II,Augsburg II,0 : 0,-,-,-
31102017,14:00,Rosenheim,Burghausen,3 : 2,-,-,-
31102017,14:00,Schalding,Memmingen,0 : 3,-,-,-
31102017,14:00,Seligenporten,Bayern II,2 : 2,-,-,-
31102017,14:00,Unterfohring,Schweinfurt,1 : 1,-,-,-
31102017,14:05,Munich 1860,SpVgg Bayreuth,3 : 0,-,-,-
31102017,16:30,Buchbach,Nurnberg II,2 : 2,-,-,-
04112017,14:00,Furth II ,Pipinsried,1 : 2,-,-,-
04112017,14:00,Garching,Augsburg II,2 : 0,-,-,-
04112017,14:00,Illertissen,SpVgg Bayreuth,2 : 2,-,-,-
04112017,14:00,Rosenheim,Buchbach,2 : 2,-,-,-
04112017,14:00,Schalding,Burghausen,2 : 1,-,-,-
04112017,14:00,Unterfohring,Eichstatt,0 : 1,-,-,-
03112017,19:00,Ingolstadt II,Bayern II,0 : 2,-,-,-
03112017,19:00,Munich 1860,Memmingen,2 : 0,-,-,-
06112017,20:15,Schweinfurt,Nurnberg II,3 : 0,-,-,-
06112017,20:15,Schweinfurt,Nurnberg II,3 : 0,-,-,-
10112017,19:00,Buchbach ,Schalding,0 : 3,-,-,-
10112017,19:00,Memmingen,Illertissen,0 : 1,-,-,-
11112017,14:00,Augsburg II,Furth II,0 : 1,-,-,-
11112017,14:00,Burghausen,Munich 1860,2 : 0,-,-,-
11112017,14:00,Eichstatt ,Schweinfurt,3 : 0,-,-,-
11112017,14:00,Nurnberg II,Rosenheim,6 : 2,-,-,-
11112017,14:00,Pipinsried,Unterfohring ,3 : 0,-,-,-
11112017,14:00,SpVgg Bayreuth,Seligenporten,3 : 0,-,-,-
14112017,19:00,Bayern II,Garching,-,-,-,-
18112017,14:00,Eichstatt,Nurnberg II,0 : 1,-,-,-
18112017,14:00,Furth II,Bayern II,0 : 3,-,-,-
18112017,14:00,Illertissen,Burghausen,0 : 0,-,-,-
18112017,14:00,Ingolstadt II,SpVgg Bayreuth ,6 : 0,-,-,-
18112017,14:00,Schalding,Rosenheim,3 : 0,-,-,-
18112017,14:00,Schweinfurt,Pipinsried,1 : 2,-,-,-
18112017,14:00,Seligenporten,Memmingen,0 : 0,-,-,-
18112017,14:00,Unterfohring,Augsburg II,0 : 2,-,-,-
20112017,20:05,Munich 1860,Buchbach,-,-,-,-
25112017,14:00,Rosenheim,Munich 1860,1 : 1,-,-,-
24112017,13:00,Augsburg II ,Schweinfurt,1 : 3,-,-,-
24112017,14:00,Buchbach,Illertissen ,2 : 2,-,-,-
24112017,14:00,Burghausen,Seligenporten,1 : 0,-,-,-
24112017,14:00,Memmingen,Ingolstadt II,4 : 3,-,-,-
24112017,14:00,Nurnberg II,Schalding,6 : 3,-,-,-
24112017,14:00,Pipinsried,Eichstatt,1 : 3,-,-,-
24112017,14:00,SpVgg Bayreuth,Garching,-,-,-,-
30112017,19:00,Munich 1860,Schalding,3 : 0,-,-,-
28112017,19:00,Bayern II,Buchbach,4 : 0,-,-,-
03122017,20:15,Schweinfurt,Bayern II,-,-,-,-
01122017,14:00,Augsburg II ,Eichstatt,0 : 1,-,-,-
01122017,14:00,Furth II,SpVgg Bayreuth,-,-,-,-
01122017,14:00,Garching,Memmingen,3 : 0,-,-,-
01122017,14:00,Illertissen,Rosenheim,-,-,-,-
01122017,14:00,Ingolstadt II,Burghausen,-,-,-,-
01122017,14:00,Pipinsried,Nurnberg II,-,-,-,-
01122017,14:00,Seligenporten,Buchbach,-,-,-,-
03122017,20:15,Schweinfurt,Bayern II,-,2.29,3.50,2.87
